published_fy,pref_code,pref_name,area_code,area_name,population_2020,population_2020_source_value,population_2020_source_unit,area_2020_km2,outflow_rate,outflow_rate_source_value,inflow_rate,inflow_rate_source_value
R7,01,北海道,0101,南渡島,359223,35.9223,万人,2670.6,0.035,0.035,0.085,0.085
R7,01,北海道,0102,南檜山,21139,2.1139,万人,1423.38,0.5720000000000001,0.5720000000000001,0,0
R7,01,北海道,0103,北渡島檜山,33405,3.3405,万人,2473.77,0.439,0.439,0.062,0.062
R7,01,北海道,0104,札幌,2396732,239.6732,万人,3540.16,0.012,0.012,0.11699999999999999,0.11699999999999999
R7,01,北海道,0105,後志,198888,19.8888,万人,4305.88,0.301,0.301,0.06,0.06
R7,01,北海道,0106,南空知,152486,15.2486,万人,2562.25,0.366,0.366,0.141,0.141
R7,01,北海道,0107,中空知,99784,9.9784,万人,2162.07,0.243,0.243,0.09699999999999999,0.09699999999999999
R7,01,北海道,0108,北空知,29694,2.9694,万人,1067.29,0.444,0.444,0.061,0.061
R7,01,北海道,0109,西胆振,176606,17.6606,万人,1356.69,0.085,0.085,0.08199999999999999,0.08199999999999999
R7,01,北海道,0110,東胆振,205748,20.5748,万人,2340.34,0.217,0.217,0.124,0.124
R7,01,北海道,0111,日高,63372,6.3372,万人,4811.12,0.45299999999999996,0.45299999999999996,0.023,0.023
R7,01,北海道,0112,上川中部,381296,38.1296,万人,4238.1,0.032,0.032,0.165,0.165
R7,01,北海道,0113,上川北部,60763,6.0763,万人,4197.18,0.273,0.273,0.168,0.168
R7,01,北海道,0114,富良野,39894,3.9894,万人,2183.41,0.341,0.341,0.037000000000000005,0.037000000000000005
R7,01,北海道,0115,留萌,43050,4.305,万人,3445.89,0.535,0.535,0.027000000000000003,0.027000000000000003
R7,01,北海道,0116,宗谷,62140,6.214,万人,4626.07,0.435,0.435,0.044000000000000004,0.044000000000000004
R7,01,北海道,0117,北網,208460,20.846,万人,5542.28,0.09,0.09,0.092,0.092
R7,01,北海道,0118,遠紋,64902,6.4902,万人,5148.25,0.39899999999999997,0.39899999999999997,0,0
R7,01,北海道,0119,十勝,332648,33.2648,万人,10828.04,0.040999999999999995,0.040999999999999995,0.021,0.021
R7,01,北海道,0120,釧路,222613,22.2613,万人,5997.08,0.036000000000000004,0.036000000000000004,0.11800000000000001,0.11800000000000001
R7,01,北海道,0121,根室,71771,7.1771,万人,3533.16,0.462,0.462,0.009000000000000001,0.009000000000000001
R7,02,青森県,0201,津軽地域,275508,27.5508,万人,1598.23,0.044000000000000004,0.044000000000000004,0.207,0.207
R7,02,青森県,0202,八戸地域,310282,31.0282,万人,1346.86,0.096,0.096,0.155,0.155
R7,02,青森県,0203,青森地域,295593,29.5593,万人,1478.1,0.07,0.07,0.163,0.163
R7,02,青森県,0204,西北五地域,120470,12.047,万人,1752.5,0.39299999999999996,0.39299999999999996,0.015,0.015
R7,02,青森県,0205,上十三地域,167931,16.7931,万人,2053.88,0.28300000000000003,0.28300000000000003,0.083,0.083
R7,02,青森県,0206,下北地域,68200,6.82,万人,1416.08,0.29600000000000004,0.29600000000000004,0.04,0.04
R7,03,岩手県,0301,盛岡,463186,46.3186,万人,3641.77,0.040999999999999995,0.040999999999999995,0.24600000000000002,0.24600000000000002
R7,03,岩手県,0302,岩手中部,216738,21.6738,万人,2762.65,0.24100000000000002,0.24100000000000002,0.10400000000000001,0.10400000000000001
