published_fy,pref_code,pref_name,area_code,area_name,bed_function,series,year,beds
R7,01,北海道,0101,南渡島,合計,実績,2015,5595
R7,01,北海道,0101,南渡島,合計,実績,2018,5600
R7,01,北海道,0101,南渡島,合計,実績,2019,5466
R7,01,北海道,0101,南渡島,合計,実績,2020,5470
R7,01,北海道,0101,南渡島,合計,実績,2021,5677
R7,01,北海道,0101,南渡島,合計,実績,2022,5381
R7,01,北海道,0101,南渡島,合計,実績,2023,5382
R7,01,北海道,0101,南渡島,合計,実績,2024,4995
R7,01,北海道,0101,南渡島,合計,実績,2025,4995
R7,01,北海道,0101,南渡島,合計,見込量,2026,5075
R7,01,北海道,0101,南渡島,合計,必要数,2025,4857
R7,01,北海道,0101,南渡島,高度急性期,実績,2015,382
R7,01,北海道,0101,南渡島,高度急性期,実績,2018,394
R7,01,北海道,0101,南渡島,高度急性期,実績,2019,484
R7,01,北海道,0101,南渡島,高度急性期,実績,2020,646
R7,01,北海道,0101,南渡島,高度急性期,実績,2021,836
R7,01,北海道,0101,南渡島,高度急性期,実績,2022,786
R7,01,北海道,0101,南渡島,高度急性期,実績,2023,844
R7,01,北海道,0101,南渡島,高度急性期,実績,2024,661
R7,01,北海道,0101,南渡島,高度急性期,実績,2025,661
R7,01,北海道,0101,南渡島,高度急性期,見込量,2026,836
R7,01,北海道,0101,南渡島,高度急性期,必要数,2025,585
R7,01,北海道,0101,南渡島,急性期,実績,2015,3310
R7,01,北海道,0101,南渡島,急性期,実績,2018,3201
R7,01,北海道,0101,南渡島,急性期,実績,2019,3057
R7,01,北海道,0101,南渡島,急性期,実績,2020,2899
R7,01,北海道,0101,南渡島,急性期,実績,2021,2582
R7,01,北海道,0101,南渡島,急性期,実績,2022,2545
R7,01,北海道,0101,南渡島,急性期,実績,2023,2456
R7,01,北海道,0101,南渡島,急性期,実績,2024,2471
R7,01,北海道,0101,南渡島,急性期,実績,2025,2471
R7,01,北海道,0101,南渡島,急性期,見込量,2026,2361
R7,01,北海道,0101,南渡島,急性期,必要数,2025,1759
R7,01,北海道,0101,南渡島,回復期,実績,2015,472
R7,01,北海道,0101,南渡島,回復期,実績,2018,620
R7,01,北海道,0101,南渡島,回復期,実績,2019,666
R7,01,北海道,0101,南渡島,回復期,実績,2020,663
R7,01,北海道,0101,南渡島,回復期,実績,2021,703
R7,01,北海道,0101,南渡島,回復期,実績,2022,719
R7,01,北海道,0101,南渡島,回復期,実績,2023,791
R7,01,北海道,0101,南渡島,回復期,実績,2024,801
R7,01,北海道,0101,南渡島,回復期,実績,2025,801
R7,01,北海道,0101,南渡島,回復期,見込量,2026,866
