join_status,area_code,area_name,pref_code,pref_name,geo_code,geo_name,note
matched,0101,南渡島,01,北海道,0101,南渡島,
matched,0102,南檜山,01,北海道,0102,南檜山,
matched,0103,北渡島檜山,01,北海道,0103,北渡島檜山,
matched,0104,札幌,01,北海道,0104,札幌,
matched,0105,後志,01,北海道,0105,後志,
matched,0106,南空知,01,北海道,0106,南空知,
matched,0107,中空知,01,北海道,0107,中空知,
matched,0108,北空知,01,北海道,0108,北空知,
matched,0109,西胆振,01,北海道,0109,西胆振,
matched,0110,東胆振,01,北海道,0110,東胆振,
matched,0111,日高,01,北海道,0111,日高,
matched,0112,上川中部,01,北海道,0112,上川中部,
matched,0113,上川北部,01,北海道,0113,上川北部,
matched,0114,富良野,01,北海道,0114,富良野,
matched,0115,留萌,01,北海道,0115,留萌,
matched,0116,宗谷,01,北海道,0116,宗谷,
matched,0117,北網,01,北海道,0117,北網,
matched,0118,遠紋,01,北海道,0118,遠紋,
matched,0119,十勝,01,北海道,0119,十勝,
matched,0120,釧路,01,北海道,0120,釧路,
matched,0121,根室,01,北海道,0121,根室,
matched,0201,津軽地域,02,青森県,0201,津軽地域,
matched,0202,八戸地域,02,青森県,0202,八戸地域,
matched,0203,青森地域,02,青森県,0203,青森地域,
matched,0204,西北五地域,02,青森県,0204,西北五地域,
matched,0205,上十三地域,02,青森県,0205,上十三地域,
matched,0206,下北地域,02,青森県,0206,下北地域,
matched,0301,盛岡,03,岩手県,0301,盛岡,
matched,0302,岩手中部,03,岩手県,0302,岩手中部,
matched,0303,胆江,03,岩手県,0303,胆江,
matched,0304,両磐,03,岩手県,0304,両磐,
matched,0305,気仙,03,岩手県,0305,気仙,
matched,0306,釜石,03,岩手県,0306,釜石,
matched,0307,宮古,03,岩手県,0307,宮古,
matched,0308,久慈,03,岩手県,0308,久慈,
matched,0309,二戸,03,岩手県,0309,二戸,
matched,0401,仙南,04,宮城県,0401,仙南,
matched,0403,仙台,04,宮城県,0403,仙台,
matched,0406,大崎・栗原,04,宮城県,0406,大崎・栗原,
matched,0409,石巻・登米・気仙沼,04,宮城県,0409,石巻・登米・気仙沼,
matched,0501,大館・鹿角,05,秋田県,0501,大館・鹿角,
matched,0502,北秋田,05,秋田県,0502,北秋田,
matched,0503,能代・山本,05,秋田県,0503,能代・山本,
matched,0504,秋田周辺,05,秋田県,0504,秋田周辺,
matched,0505,由利本荘・にかほ,05,秋田県,0505,由利本荘・にかほ,
matched,0506,大仙・仙北,05,秋田県,0506,大仙・仙北,
matched,0507,横手,05,秋田県,0507,横手,
matched,0508,湯沢・雄勝,05,秋田県,0508,湯沢・雄勝,
matched,0601,村山,06,山形県,0601,村山,
matched,0602,最上,06,山形県,0602,最上,
matched,0603,置賜,06,山形県,0603,置賜,
matched,0604,庄内,06,山形県,0604,庄内,
matched,0701,県北,07,福島県,0701,県北,
matched,0702,県中,07,福島県,0702,県中,
matched,0703,県南,07,福島県,0703,県南,
matched,0706,相双,07,福島県,0706,相双,
matched,0707,いわき,07,福島県,0707,いわき,
matched,0708,会津・南会津,07,福島県,0708,会津・南会津,
matched,0801,水戸,08,茨城県,0801,水戸,
matched,0802,日立,08,茨城県,0802,日立,
matched,0803,常陸太田・ひたちなか,08,茨城県,0803,常陸太田・ひたちなか,
matched,0804,鹿行,08,茨城県,0804,鹿行,
matched,0805,土浦,08,茨城県,0805,土浦,
matched,0806,つくば,08,茨城県,0806,つくば,
matched,0807,取手・竜ヶ崎,08,茨城県,0807,取手・竜ヶ崎,
matched,0808,筑西・下妻,08,茨城県,0808,筑西・下妻,
matched,0809,古河・坂東,08,茨城県,0809,古河・坂東,
matched,0901,県北,09,栃木県,0901,県北,
matched,0902,県西,09,栃木県,0902,県西,
matched,0903,宇都宮,09,栃木県,0903,宇都宮,
matched,0904,県東,09,栃木県,0904,県東,
matched,0905,県南,09,栃木県,0905,県南,
matched,0906,両毛,09,栃木県,0906,両毛,
matched,1001,前橋,10,群馬県,1001,前橋,
matched,1002,渋川,10,群馬県,1002,渋川,
matched,1003,伊勢崎,10,群馬県,1003,伊勢崎,
matched,1004,高崎・安中,10,群馬県,1004,高崎・安中,
matched,1005,藤岡,10,群馬県,1005,藤岡,
matched,1006,富岡,10,群馬県,1006,富岡,
matched,1007,吾妻,10,群馬県,1007,吾妻,
matched,1008,沼田,10,群馬県,1008,沼田,
matched,1009,桐生,10,群馬県,1009,桐生,
matched,1010,太田・館林,10,群馬県,1010,太田・館林,
matched,1101,南部,11,埼玉県,1101,南部,
matched,1102,南西部,11,埼玉県,1102,南西部,
matched,1103,東部,11,埼玉県,1103,東部,
matched,1104,さいたま,11,埼玉県,1104,さいたま,
matched,1105,県央,11,埼玉県,1105,県央,
matched,1106,川越比企,11,埼玉県,1106,川越比企,
matched,1107,西部,11,埼玉県,1107,西部,
matched,1108,利根,11,埼玉県,1108,利根,
matched,1109,北部,11,埼玉県,1109,北部,
matched,1110,秩父,11,埼玉県,1110,秩父,
matched,1201,千葉,12,千葉県,1201,千葉,
matched,1202,東葛南部,12,千葉県,1202,東葛南部,
matched,1203,東葛北部,12,千葉県,1203,東葛北部,
matched,1204,印旛,12,千葉県,1204,印旛,
matched,1205,香取海匝,12,千葉県,1205,香取海匝,
matched,1206,山武長生夷隅,12,千葉県,1206,山武長生夷隅,
matched,1207,安房,12,千葉県,1207,安房,
matched,1208,君津,12,千葉県,1208,君津,
matched,1209,市原,12,千葉県,1209,市原,
matched,1301,区中央部,13,東京都,1301,区中央部,
matched,1302,区南部,13,東京都,1302,区南部,
matched,1303,区西南部,13,東京都,1303,区西南部,
matched,1304,区西部,13,東京都,1304,区西部,
matched,1305,区西北部,13,東京都,1305,区西北部,
matched,1306,区東北部,13,東京都,1306,区東北部,
matched,1307,区東部,13,東京都,1307,区東部,
matched,1308,西多摩,13,東京都,1308,西多摩,
matched,1309,南多摩,13,東京都,1309,南多摩,
matched,1310,北多摩西部,13,東京都,1310,北多摩西部,
matched,1311,北多摩南部,13,東京都,1311,北多摩南部,
matched,1312,北多摩北部,13,東京都,1312,北多摩北部,
matched,1313,島しょ,13,東京都,1313,島しょ,
matched,1404,川崎北部,14,神奈川県,1404,川崎北部,
matched,1405,川崎南部,14,神奈川県,1405,川崎南部,
matched,1406,横須賀・三浦,14,神奈川県,1406,横須賀・三浦,
matched,1407,湘南東部,14,神奈川県,1407,湘南東部,
matched,1408,湘南西部,14,神奈川県,1408,湘南西部,
matched,1409,県央,14,神奈川県,1409,県央,
matched,1410,相模原,14,神奈川県,1410,相模原,
matched,1411,県西,14,神奈川県,1411,県西,
matched,1412,横浜,14,神奈川県,1412,横浜,
matched,1501,下越,15,新潟県,1501,下越,
matched,1502,新潟,15,新潟県,1502,新潟,
matched,1503,県央,15,新潟県,1503,県央,
matched,1504,中越,15,新潟県,1504,中越,
matched,1505,魚沼,15,新潟県,1505,魚沼,
matched,1506,上越,15,新潟県,1506,上越,
matched,1507,佐渡,15,新潟県,1507,佐渡,
matched,1601,新川,16,富山県,1601,新川,
matched,1602,富山,16,富山県,1602,富山,
matched,1603,高岡,16,富山県,1603,高岡,
matched,1604,砺波,16,富山県,1604,砺波,
matched,1701,南加賀,17,石川県,1701,南加賀,
matched,1702,石川中央,17,石川県,1702,石川中央,
matched,1703,能登中部,17,石川県,1703,能登中部,
matched,1704,能登北部,17,石川県,1704,能登北部,
matched,1801,福井・坂井,18,福井県,1801,福井・坂井,
matched,1802,奥越,18,福井県,1802,奥越,
matched,1803,丹南,18,福井県,1803,丹南,
matched,1804,嶺南,18,福井県,1804,嶺南,
matched,1901,中北,19,山梨県,1901,中北,
matched,1902,峡東,19,山梨県,1902,峡東,
matched,1903,峡南,19,山梨県,1903,峡南,
matched,1904,富士・東部,19,山梨県,1904,富士・東部,
matched,2001,佐久,20,長野県,2001,佐久,
matched,2002,上小,20,長野県,2002,上小,
matched,2003,諏訪,20,長野県,2003,諏訪,
matched,2004,上伊那,20,長野県,2004,上伊那,
matched,2005,飯伊,20,長野県,2005,飯伊,
matched,2006,木曽,20,長野県,2006,木曽,
matched,2007,松本,20,長野県,2007,松本,
matched,2008,大北,20,長野県,2008,大北,
matched,2009,長野,20,長野県,2009,長野,
matched,2010,北信,20,長野県,2010,北信,
matched,2101,岐阜,21,岐阜県,2101,岐阜,
matched,2102,西濃,21,岐阜県,2102,西濃,
matched,2103,中濃,21,岐阜県,2103,中濃,
matched,2104,東濃,21,岐阜県,2104,東濃,
matched,2105,飛騨,21,岐阜県,2105,飛騨,
matched,2201,賀茂,22,静岡県,2201,賀茂,
matched,2202,熱海伊東,22,静岡県,2202,熱海伊東,
matched,2203,駿東田方,22,静岡県,2203,駿東田方,
matched,2204,富士,22,静岡県,2204,富士,
matched,2205,静岡,22,静岡県,2205,静岡,
matched,2206,志太榛原,22,静岡県,2206,志太榛原,
matched,2207,中東遠,22,静岡県,2207,中東遠,
matched,2208,西部,22,静岡県,2208,西部,
matched,2302,海部,23,愛知県,2302,海部,
matched,2304,尾張東部,23,愛知県,2304,尾張東部,
matched,2305,尾張西部,23,愛知県,2305,尾張西部,
matched,2306,尾張北部,23,愛知県,2306,尾張北部,
matched,2307,知多半島,23,愛知県,2307,知多半島,
matched,2308,西三河北部,23,愛知県,2308,西三河北部,
matched,2309,西三河南部西,23,愛知県,2309,西三河南部西,
matched,2310,西三河南部東,23,愛知県,2310,西三河南部東,
matched,2311,東三河北部,23,愛知県,2311,東三河北部,
matched,2312,東三河南部,23,愛知県,2312,東三河南部,
matched,2313,名古屋・尾張中部,23,愛知県,2313,名古屋・尾張中部,
matched,2501,大津,25,滋賀県,2501,大津,
matched,2502,湖南,25,滋賀県,2502,湖南,
matched,2503,甲賀,25,滋賀県,2503,甲賀,
matched,2504,東近江,25,滋賀県,2504,東近江,
matched,2505,湖東,25,滋賀県,2505,湖東,
matched,2506,湖北,25,滋賀県,2506,湖北,
matched,2507,湖西,25,滋賀県,2507,湖西,
matched,2601,丹後,26,京都府,2601,丹後,
matched,2602,中丹,26,京都府,2602,中丹,
matched,2603,南丹,26,京都府,2603,南丹,
matched,2604,京都・乙訓,26,京都府,2604,京都・乙訓,
matched,2605,山城北,26,京都府,2605,山城北,
matched,2606,山城南,26,京都府,2606,山城南,
matched,2701,豊能,27,大阪府,2701,豊能,
matched,2702,三島,27,大阪府,2702,三島,
matched,2703,北河内,27,大阪府,2703,北河内,
matched,2704,中河内,27,大阪府,2704,中河内,
matched,2705,南河内,27,大阪府,2705,南河内,
matched,2706,堺市,27,大阪府,2706,堺市,
matched,2707,泉州,27,大阪府,2707,泉州,
matched,2708,大阪市,27,大阪府,2708,大阪市,
matched,2801,神戸,28,兵庫県,2801,神戸,
matched,2804,東播磨,28,兵庫県,2804,東播磨,
matched,2805,北播磨,28,兵庫県,2805,北播磨,
matched,2808,但馬,28,兵庫県,2808,但馬,
matched,2809,丹波,28,兵庫県,2809,丹波,
matched,2810,淡路,28,兵庫県,2810,淡路,
matched,2811,阪神,28,兵庫県,2811,阪神,
matched,2812,播磨姫路,28,兵庫県,2812,播磨姫路,
matched,2901,奈良,29,奈良県,2901,奈良,
matched,2902,東和,29,奈良県,2902,東和,
matched,2903,西和,29,奈良県,2903,西和,
matched,2904,中和,29,奈良県,2904,中和,
matched,2905,南和,29,奈良県,2905,南和,
matched,3001,和歌山,30,和歌山県,3001,和歌山,
matched,3002,那賀,30,和歌山県,3002,那賀,
matched,3003,橋本,30,和歌山県,3003,橋本,
matched,3004,有田,30,和歌山県,3004,有田,
matched,3005,御坊,30,和歌山県,3005,御坊,
matched,3006,田辺,30,和歌山県,3006,田辺,
matched,3007,新宮,30,和歌山県,3007,新宮,
matched,3101,東部,31,鳥取県,3101,東部,
matched,3102,中部,31,鳥取県,3102,中部,
matched,3103,西部,31,鳥取県,3103,西部,
matched,3201,松江,32,島根県,3201,松江,
matched,3202,雲南,32,島根県,3202,雲南,
matched,3203,出雲,32,島根県,3203,出雲,
matched,3204,大田,32,島根県,3204,大田,
matched,3205,浜田,32,島根県,3205,浜田,
matched,3206,益田,32,島根県,3206,益田,
matched,3207,隠岐,32,島根県,3207,隠岐,
matched,3301,県南東部,33,岡山県,3301,県南東部,
matched,3302,県南西部,33,岡山県,3302,県南西部,
matched,3303,高梁・新見,33,岡山県,3303,高梁・新見,
matched,3304,真庭,33,岡山県,3304,真庭,
matched,3305,津山・英田,33,岡山県,3305,津山・英田,
matched,3401,広島,34,広島県,3401,広島,
matched,3402,広島西,34,広島県,3402,広島西,
matched,3403,呉,34,広島県,3403,呉,
matched,3404,広島中央,34,広島県,3404,広島中央,
matched,3405,尾三,34,広島県,3405,尾三,
matched,3406,福山・府中,34,広島県,3406,福山・府中,
matched,3407,備北,34,広島県,3407,備北,
matched,3501,岩国,35,山口県,3501,岩国,
matched,3502,柳井,35,山口県,3502,柳井,
matched,3503,周南,35,山口県,3503,周南,
matched,3504,山口・防府,35,山口県,3504,山口・防府,
matched,3505,宇部・小野田,35,山口県,3505,宇部・小野田,
matched,3506,下関,35,山口県,3506,下関,
matched,3507,長門,35,山口県,3507,長門,
matched,3508,萩,35,山口県,3508,萩,
matched,3601,東部,36,徳島県,3601,東部,
matched,3603,南部,36,徳島県,3603,南部,
matched,3605,西部,36,徳島県,3605,西部,
matched,3702,小豆,37,香川県,3702,小豆,
matched,3706,東部,37,香川県,3706,東部,
matched,3707,西部,37,香川県,3707,西部,
matched,3801,宇摩,38,愛媛県,3801,宇摩,
matched,3802,新居浜・西条,38,愛媛県,3802,新居浜・西条,
matched,3803,今治,38,愛媛県,3803,今治,
matched,3804,松山,38,愛媛県,3804,松山,
matched,3805,八幡浜・大洲,38,愛媛県,3805,八幡浜・大洲,
matched,3806,宇和島,38,愛媛県,3806,宇和島,
matched,3901,安芸,39,高知県,3901,安芸,
matched,3902,中央,39,高知県,3902,中央,
matched,3903,高幡,39,高知県,3903,高幡,
matched,3904,幡多,39,高知県,3904,幡多,
matched,4001,福岡・糸島,40,福岡県,4001,福岡・糸島,
matched,4002,粕屋,40,福岡県,4002,粕屋,
matched,4003,宗像,40,福岡県,4003,宗像,
matched,4004,筑紫,40,福岡県,4004,筑紫,
matched,4005,朝倉,40,福岡県,4005,朝倉,
matched,4006,久留米,40,福岡県,4006,久留米,
matched,4007,八女・筑後,40,福岡県,4007,八女・筑後,
matched,4008,有明,40,福岡県,4008,有明,
matched,4009,飯塚,40,福岡県,4009,飯塚,
matched,4010,直方・鞍手,40,福岡県,4010,直方・鞍手,
matched,4011,田川,40,福岡県,4011,田川,
matched,4012,北九州,40,福岡県,4012,北九州,
matched,4013,京築,40,福岡県,4013,京築,
matched,4101,中部,41,佐賀県,4101,中部,
matched,4102,東部,41,佐賀県,4102,東部,
matched,4103,北部,41,佐賀県,4103,北部,
matched,4104,西部,41,佐賀県,4104,西部,
matched,4105,南部,41,佐賀県,4105,南部,
matched,4201,長崎,42,長崎県,4201,長崎,
matched,4202,佐世保県北,42,長崎県,4202,佐世保県北,
matched,4203,県央,42,長崎県,4203,県央,
matched,4204,県南,42,長崎県,4204,県南,
matched,4206,五島,42,長崎県,4206,五島,
matched,4207,上五島,42,長崎県,4207,上五島,
matched,4208,壱岐,42,長崎県,4208,壱岐,
matched,4209,対馬,42,長崎県,4209,対馬,
matched,4302,宇城,43,熊本県,4302,宇城,
matched,4303,有明,43,熊本県,4303,有明,
matched,4304,鹿本,43,熊本県,4304,鹿本,
matched,4305,菊池,43,熊本県,4305,菊池,
matched,4306,阿蘇,43,熊本県,4306,阿蘇,
matched,4308,八代,43,熊本県,4308,八代,
matched,4309,芦北,43,熊本県,4309,芦北,
matched,4310,球磨,43,熊本県,4310,球磨,
matched,4311,天草,43,熊本県,4311,天草,
matched,4312,熊本・上益城,43,熊本県,4312,熊本・上益城,
matched,4401,東部,44,大分県,4401,東部,
matched,4403,中部,44,大分県,4403,中部,
matched,4405,南部,44,大分県,4405,南部,
matched,4406,豊肥,44,大分県,4406,豊肥,
matched,4408,西部,44,大分県,4408,西部,
matched,4409,北部,44,大分県,4409,北部,
matched,4501,宮崎東諸県,45,宮崎県,4501,宮崎東諸県,
matched,4502,都城北諸県,45,宮崎県,4502,都城北諸県,
matched,4503,延岡西臼杵,45,宮崎県,4503,延岡西臼杵,
matched,4504,日南串間,45,宮崎県,4504,日南串間,
matched,4505,西諸,45,宮崎県,4505,西諸,
matched,4506,西都児湯,45,宮崎県,4506,西都児湯,
matched,4507,日向入郷,45,宮崎県,4507,日向入郷,
matched,4601,鹿児島,46,鹿児島県,4601,鹿児島,
matched,4603,南薩,46,鹿児島県,4603,南薩,
matched,4605,川薩,46,鹿児島県,4605,川薩,
matched,4606,出水,46,鹿児島県,4606,出水,
matched,4607,姶良・伊佐,46,鹿児島県,4607,姶良・伊佐,
matched,4609,曽於,46,鹿児島県,4609,曽於,
matched,4610,肝属,46,鹿児島県,4610,肝属,
matched,4611,熊毛,46,鹿児島県,4611,熊毛,
matched,4612,奄美,46,鹿児島県,4612,奄美,
matched,4701,北部,47,沖縄県,4701,北部,
matched,4702,中部,47,沖縄県,4702,中部,
matched,4703,南部,47,沖縄県,4703,南部,
matched,4704,宮古,47,沖縄県,4704,宮古,
matched,4705,八重山,47,沖縄県,4705,八重山,
area_only,2405,桑員,24,三重県,,,二次医療圏(令和2年度)では2401北勢に含まれる区域(三重県公式資料により検証済み。doc/JOIN_VERIFICATION.md 参照)。R7で細分化されたため境界なし
area_only,2406,三泗,24,三重県,,,二次医療圏(令和2年度)では2401北勢に含まれる区域(三重県公式資料により検証済み。doc/JOIN_VERIFICATION.md 参照)。R7で細分化されたため境界なし
area_only,2407,鈴亀,24,三重県,,,二次医療圏(令和2年度)では2401北勢に含まれる区域(三重県公式資料により検証済み。doc/JOIN_VERIFICATION.md 参照)。R7で細分化されたため境界なし
