area_code,area_name,pref_code,pref_name,bed_function,plan_2025_r6,actual_2025_r7,actual_2024_r6,actual_2024_r7,need_2025
0101,南渡島,01,北海道,合計,5216,4995,5243,4995,4857
0101,南渡島,01,北海道,高度急性期,956,661,940,661,585
0101,南渡島,01,北海道,急性期,2322,2471,2363,2471,1759
0101,南渡島,01,北海道,回復期,778,801,785,801,1618
0101,南渡島,01,北海道,慢性期,1160,1062,1155,1062,895
0102,南檜山,01,北海道,合計,309,333,333,333,245
0102,南檜山,01,北海道,高度急性期,0,0,0,0,0
0102,南檜山,01,北海道,急性期,168,168,168,168,56
0102,南檜山,01,北海道,回復期,0,0,0,0,119
0102,南檜山,01,北海道,慢性期,141,165,165,165,70
0103,北渡島檜山,01,北海道,合計,680,650,713,650,545
0103,北渡島檜山,01,北海道,高度急性期,0,0,0,0,18
0103,北渡島檜山,01,北海道,急性期,91,91,124,91,103
0103,北渡島檜山,01,北海道,回復期,375,345,375,345,196
0103,北渡島檜山,01,北海道,慢性期,214,214,214,214,228
0104,札幌,01,北海道,合計,32941,33106,33110,33106,35786
0104,札幌,01,北海道,高度急性期,2887,2584,2694,2584,3913
0104,札幌,01,北海道,急性期,15258,15180,15561,15180,10951
0104,札幌,01,北海道,回復期,3427,3755,3455,3755,8923
0104,札幌,01,北海道,慢性期,11369,11587,11400,11587,11999
0105,後志,01,北海道,合計,2608,2458,2690,2458,2922
0105,後志,01,北海道,高度急性期,102,102,102,102,164
0105,後志,01,北海道,急性期,1036,1040,1064,1040,638
0105,後志,01,北海道,回復期,596,384,558,384,856
0105,後志,01,北海道,慢性期,874,932,966,932,1264
0106,南空知,01,北海道,合計,1742,1738,1941,1738,1925
0106,南空知,01,北海道,高度急性期,0,0,0,0,98
0106,南空知,01,北海道,急性期,1055,1050,1114,1050,474
0106,南空知,01,北海道,回復期,177,158,177,158,708
0106,南空知,01,北海道,慢性期,510,530,650,530,645
0107,中空知,01,北海道,合計,1754,1622,1730,1622,1609
0107,中空知,01,北海道,高度急性期,34,34,34,34,124
0107,中空知,01,北海道,急性期,744,630,684,630,424
0107,中空知,01,北海道,回復期,124,124,168,124,435
0107,中空知,01,北海道,慢性期,852,834,844,834,626
0108,北空知,01,北海道,合計,526,526,543,526,522
0108,北空知,01,北海道,高度急性期,0,0,0,0,17
0108,北空知,01,北海道,急性期,149,149,149,149,100
0108,北空知,01,北海道,回復期,42,42,42,42,153
0108,北空知,01,北海道,慢性期,335,335,352,335,252
0109,西胆振,01,北海道,合計,2786,3004,2839,3004,2826
0109,西胆振,01,北海道,高度急性期,42,24,42,24,279
0109,西胆振,01,北海道,急性期,1189,1176,1208,1176,800
0109,西胆振,01,北海道,回復期,305,630,339,630,620
0109,西胆振,01,北海道,慢性期,1250,1174,1250,1174,1127
0110,東胆振,01,北海道,合計,1962,1969,1931,1969,2462
0110,東胆振,01,北海道,高度急性期,31,33,33,33,233
0110,東胆振,01,北海道,急性期,1244,1270,1224,1270,752
0110,東胆振,01,北海道,回復期,325,273,281,273,800
0110,東胆振,01,北海道,慢性期,362,393,393,393,677
0111,日高,01,北海道,合計,534,534,534,534,637
0111,日高,01,北海道,高度急性期,0,0,0,0,20
0111,日高,01,北海道,急性期,280,280,280,280,103
0111,日高,01,北海道,回復期,0,43,0,43,259
0111,日高,01,北海道,慢性期,254,211,254,211,255
0112,上川中部,01,北海道,合計,5755,5777,5706,5777,5625
0112,上川中部,01,北海道,高度急性期,1376,1240,1314,1240,689
0112,上川中部,01,北海道,急性期,1734,1946,1763,1946,1795
0112,上川中部,01,北海道,回復期,1055,1044,898,1044,1613
0112,上川中部,01,北海道,慢性期,1590,1547,1731,1547,1528
0113,上川北部,01,北海道,合計,797,752,797,752,792
0113,上川北部,01,北海道,高度急性期,11,11,11,11,63
0113,上川北部,01,北海道,急性期,237,256,237,256,229
0113,上川北部,01,北海道,回復期,205,209,205,209,251
0113,上川北部,01,北海道,慢性期,344,276,344,276,249
0114,富良野,01,北海道,合計,221,343,290,343,487
0114,富良野,01,北海道,高度急性期,0,0,0,0,25
