published_fy,pref_code,pref_name,area_code,area_name,demand_category,year,year_label,receipts_per_month
R7,01,北海道,0101,南渡島,在宅（訪問診療）,2024,2024年度,4382.75
R7,01,北海道,0101,南渡島,在宅（訪問診療）,2030,2030年度（現状投影）,4942.9620097568195
R7,01,北海道,0101,南渡島,在宅（訪問診療）,2035,2035年度（現状投影）,5250.030602910374
R7,01,北海道,0101,南渡島,在宅（訪問診療）,2040,2040年度（現状投影）,5464.6152508791565
R7,01,北海道,0101,南渡島,在宅（訪問診療）,2045,2045年度（現状投影）,5392.229594732477
R7,01,北海道,0101,南渡島,在宅（訪問診療）,2050,2050年度（現状投影）,5031.552805224026
R7,01,北海道,0101,南渡島,外来,2024,2024年度,261882.16666666657
R7,01,北海道,0101,南渡島,外来,2030,2030年度（現状投影）,244362.638055469
R7,01,北海道,0101,南渡島,外来,2035,2035年度（現状投影）,228282.19431806664
R7,01,北海道,0101,南渡島,外来,2040,2040年度（現状投影）,211020.4577459232
R7,01,北海道,0101,南渡島,外来,2045,2045年度（現状投影）,194145.09472945955
R7,01,北海道,0101,南渡島,外来,2050,2050年度（現状投影）,178549.25150559013
R7,01,北海道,0102,南檜山,在宅（訪問診療）,2024,2024年度,64.33333333333334
R7,01,北海道,0102,南檜山,在宅（訪問診療）,2030,2030年度（現状投影）,64.17087032624325
R7,01,北海道,0102,南檜山,在宅（訪問診療）,2035,2035年度（現状投影）,62.479319139287284
R7,01,北海道,0102,南檜山,在宅（訪問診療）,2040,2040年度（現状投影）,60.72153847777105
R7,01,北海道,0102,南檜山,在宅（訪問診療）,2045,2045年度（現状投影）,56.373095228662855
R7,01,北海道,0102,南檜山,在宅（訪問診療）,2050,2050年度（現状投影）,49.43484796390565
R7,01,北海道,0102,南檜山,外来,2024,2024年度,7586.499999999999
R7,01,北海道,0102,南檜山,外来,2030,2030年度（現状投影）,6741.695583695895
R7,01,北海道,0102,南檜山,外来,2035,2035年度（現状投影）,6031.954778769524
R7,01,北海道,0102,南檜山,外来,2040,2040年度（現状投影）,5330.13360328748
R7,01,北海道,0102,南檜山,外来,2045,2045年度（現状投影）,4652.725691812112
R7,01,北海道,0102,南檜山,外来,2050,2050年度（現状投影）,4035.7681156871345
R7,01,北海道,0103,北渡島檜山,在宅（訪問診療）,2024,2024年度,190.5
R7,01,北海道,0103,北渡島檜山,在宅（訪問診療）,2030,2030年度（現状投影）,187.83526956210846
R7,01,北海道,0103,北渡島檜山,在宅（訪問診療）,2035,2035年度（現状投影）,181.90737983141432
R7,01,北海道,0103,北渡島檜山,在宅（訪問診療）,2040,2040年度（現状投影）,176.57111473316485
R7,01,北海道,0103,北渡島檜山,在宅（訪問診療）,2045,2045年度（現状投影）,164.40462998054218
R7,01,北海道,0103,北渡島檜山,在宅（訪問診療）,2050,2050年度（現状投影）,146.3857936695357
R7,01,北海道,0103,北渡島檜山,外来,2024,2024年度,12130.166666666668
R7,01,北海道,0103,北渡島檜山,外来,2030,2030年度（現状投影）,11251.400863951736
R7,01,北海道,0103,北渡島檜山,外来,2035,2035年度（現状投影）,10286.741343906466
R7,01,北海道,0103,北渡島檜山,外来,2040,2040年度（現状投影）,9280.068313193478
R7,01,北海道,0103,北渡島檜山,外来,2045,2045年度（現状投影）,8263.473152798937
R7,01,北海道,0103,北渡島檜山,外来,2050,2050年度（現状投影）,7331.134599940234
R7,01,北海道,0104,札幌,在宅（訪問診療）,2024,2024年度,33569.25
R7,01,北海道,0104,札幌,在宅（訪問診療）,2030,2030年度（現状投影）,41604.54949033294
R7,01,北海道,0104,札幌,在宅（訪問診療）,2035,2035年度（現状投影）,47803.591749802574
R7,01,北海道,0104,札幌,在宅（訪問診療）,2040,2040年度（現状投影）,53569.638984984405
R7,01,北海道,0104,札幌,在宅（訪問診療）,2045,2045年度（現状投影）,56393.92445092516
R7,01,北海道,0104,札幌,在宅（訪問診療）,2050,2050年度（現状投影）,56442.074829234254
R7,01,北海道,0104,札幌,外来,2024,2024年度,1606339.0000000002
R7,01,北海道,0104,札幌,外来,2030,2030年度（現状投影）,1635030.760864629
R7,01,北海道,0104,札幌,外来,2035,2035年度（現状投影）,1626270.6900773903
R7,01,北海道,0104,札幌,外来,2040,2040年度（現状投影）,1599125.6374763083
R7,01,北海道,0104,札幌,外来,2045,2045年度（現状投影）,1561721.8392915823
R7,01,北海道,0104,札幌,外来,2050,2050年度（現状投影）,1523791.9581815032
R7,01,北海道,0105,後志,在宅（訪問診療）,2024,2024年度,1470.0833333333335
R7,01,北海道,0105,後志,在宅（訪問診療）,2030,2030年度（現状投影）,1589.5273958348089
R7,01,北海道,0105,後志,在宅（訪問診療）,2035,2035年度（現状投影）,1642.5296076224552
R7,01,北海道,0105,後志,在宅（訪問診療）,2040,2040年度（現状投影）,1673.195349624511
R7,01,北海道,0105,後志,在宅（訪問診療）,2045,2045年度（現状投影）,1617.0676901998909
R7,01,北海道,0105,後志,在宅（訪問診療）,2050,2050年度（現状投影）,1452.46277961105
R7,01,北海道,0105,後志,外来,2024,2024年度,119280.58333333334
R7,01,北海道,0105,後志,外来,2030,2030年度（現状投影）,108479.27434759721
R7,01,北海道,0105,後志,外来,2035,2035年度（現状投影）,99700.75440575287
R7,01,北海道,0105,後志,外来,2040,2040年度（現状投影）,90726.79852660112
R7,01,北海道,0105,後志,外来,2045,2045年度（現状投影）,82301.83473058426
R7,01,北海道,0105,後志,外来,2050,2050年度（現状投影）,74876.8983768355
R7,01,北海道,0106,南空知,在宅（訪問診療）,2024,2024年度,1304.8333333333335
R7,01,北海道,0106,南空知,在宅（訪問診療）,2030,2030年度（現状投影）,1408.421617136522
R7,01,北海道,0106,南空知,在宅（訪問診療）,2035,2035年度（現状投影）,1431.0760682931345
R7,01,北海道,0106,南空知,在宅（訪問診療）,2040,2040年度（現状投影）,1448.251377621724
R7,01,北海道,0106,南空知,在宅（訪問診療）,2045,2045年度（現状投影）,1422.602931336371
R7,01,北海道,0106,南空知,在宅（訪問診療）,2050,2050年度（現状投影）,1310.0640764712612
R7,01,北海道,0106,南空知,外来,2024,2024年度,88915.58333333331
R7,01,北海道,0106,南空知,外来,2030,2030年度（現状投影）,81686.27385116027
R7,01,北海道,0106,南空知,外来,2035,2035年度（現状投影）,74867.68762955566
R7,01,北海道,0106,南空知,外来,2040,2040年度（現状投影）,67956.76825905379
R7,01,北海道,0106,南空知,外来,2045,2045年度（現状投影）,61165.40004431603
R7,01,北海道,0106,南空知,外来,2050,2050年度（現状投影）,54979.00433138328
R7,01,北海道,0107,中空知,在宅（訪問診療）,2024,2024年度,472.33333333333326
R7,01,北海道,0107,中空知,在宅（訪問診療）,2030,2030年度（現状投影）,521.7765610911041
R7,01,北海道,0107,中空知,在宅（訪問診療）,2035,2035年度（現状投影）,532.4022335924037
R7,01,北海道,0107,中空知,在宅（訪問診療）,2040,2040年度（現状投影）,525.5048559934582
R7,01,北海道,0107,中空知,在宅（訪問診療）,2045,2045年度（現状投影）,513.7751690358263
R7,01,北海道,0107,中空知,在宅（訪問診療）,2050,2050年度（現状投影）,465.1218621563163
R7,01,北海道,0107,中空知,外来,2024,2024年度,54672.166666666664
R7,01,北海道,0107,中空知,外来,2030,2030年度（現状投影）,50091.85670768008
R7,01,北海道,0107,中空知,外来,2035,2035年度（現状投影）,45529.793886841464
R7,01,北海道,0107,中空知,外来,2040,2040年度（現状投影）,41144.92093071645
R7,01,北海道,0107,中空知,外来,2045,2045年度（現状投影）,37028.08893144982
