published_fy,pref_code,pref_name,area_code,area_name,population_2024,population_2040
R7,01,北海道,0101,南渡島,340005,259252
R7,01,北海道,0102,南檜山,19091,12386
R7,01,北海道,0103,北渡島檜山,30373,21456
R7,01,北海道,0104,札幌,2373002,2240953
R7,01,北海道,0105,後志,190691,135072
R7,01,北海道,0106,南空知,141669,102289
R7,01,北海道,0107,中空知,90764,65625
R7,01,北海道,0108,北空知,27439,18518
R7,01,北海道,0109,西胆振,163388,123291
R7,01,北海道,0110,東胆振,199347,169602
R7,01,北海道,0111,日高,59647,43179
R7,01,北海道,0112,上川中部,366497,307281
R7,01,北海道,0113,上川北部,55029,40976
R7,01,北海道,0114,富良野,37642,27540
R7,01,北海道,0115,留萌,38952,26215
R7,01,北海道,0116,宗谷,56445,42225
R7,01,北海道,0117,北網,195373,153668
R7,01,北海道,0118,遠紋,60557,44092
R7,01,北海道,0119,十勝,321177,274399
R7,01,北海道,0120,釧路,208795,158591
R7,01,北海道,0121,根室,67754,52607
R7,02,青森県,0201,津軽地域,262359,203204
R7,02,青森県,0202,八戸地域,299806,239434
R7,02,青森県,0203,青森地域,282761,220327
R7,02,青森県,0204,西北五地域,114777,77286
R7,02,青森県,0205,上十三地域,160842,127435
R7,02,青森県,0206,下北地域,64947,46589
R7,03,岩手県,0301,盛岡,445654,387992
R7,03,岩手県,0302,岩手中部,209505,172526
R7,03,岩手県,0303,胆江,122917,96260
R7,03,岩手県,0304,両磐,112239,81037
R7,03,岩手県,0305,気仙,53966,39380
R7,03,岩手県,0306,釜石,39426,27943
R7,03,岩手県,0307,宮古,70184,49996
R7,03,岩手県,0308,久慈,52115,35811
R7,03,岩手県,0309,二戸,47662,32739
R7,04,宮城県,0401,仙南,158085,126858
R7,04,宮城県,0403,仙台,1504310,1453953
R7,04,宮城県,0406,大崎・栗原,246666,192389
R7,04,宮城県,0409,石巻・登米・気仙沼,315849,241139
R7,05,秋田県,0501,大館・鹿角,96940,69946
R7,05,秋田県,0502,北秋田,29683,19693
R7,05,秋田県,0503,能代・山本,70170,46482
R7,05,秋田県,0504,秋田周辺,368402,303331
R7,05,秋田県,0505,由利本荘・にかほ,92484,68303
R7,05,秋田県,0506,大仙・仙北,114097,81857
R7,05,秋田県,0507,横手,80777,59708
R7,05,秋田県,0508,湯沢・雄勝,54705,36880
R7,06,山形県,0601,村山,509735,439053
R7,06,山形県,0602,最上,65600,46601
R7,06,山形県,0603,置賜,187731,148421
R7,06,山形県,0604,庄内,248927,193701
R7,07,福島県,0701,県北,439958,373392
R7,07,福島県,0702,県中,496159,428749
R7,07,福島県,0703,県南,133868,110456
R7,07,福島県,0706,相双,155415,96747
R7,07,福島県,0707,いわき,303171,258506
R7,07,福島県,0708,会津・南会津,242370,181217
R7,08,茨城県,0801,水戸,452208,401467
R7,08,茨城県,0802,日立,229638,174687
R7,08,茨城県,0803,常陸太田・ひたちなか,344732,293496
R7,08,茨城県,0804,鹿行,263133,228186
R7,08,茨城県,0805,土浦,251401,217008
R7,08,茨城県,0806,つくば,373099,366002
R7,08,茨城県,0807,取手・竜ヶ崎,459609,404100
R7,08,茨城県,0808,筑西・下妻,250120,200414
R7,08,茨城県,0809,古河・坂東,224654,187822
R7,09,栃木県,0901,県北,357410,303334
R7,09,栃木県,0902,県西,168176,129231
R7,09,栃木県,0903,宇都宮,514595,478951
R7,09,栃木県,0904,県東,137502,111326
R7,09,栃木県,0905,県南,473446,421967
R7,09,栃木県,0906,両毛,253043,213513
R7,10,群馬県,1001,前橋,329120,294836
R7,10,群馬県,1002,渋川,109367,90645
R7,10,群馬県,1003,伊勢崎,247704,231244
R7,10,群馬県,1004,高崎・安中,419762,390365
R7,10,群馬県,1005,藤岡,64035,50882
R7,10,群馬県,1006,富岡,65092,49399
R7,10,群馬県,1007,吾妻,49857,35013
R7,10,群馬県,1008,沼田,74309,54260
R7,10,群馬県,1009,桐生,149655,114228
R7,10,群馬県,1010,太田・館林,399013,362041
R7,11,埼玉県,1101,南部,825859,831588
R7,11,埼玉県,1102,南西部,738733,732965
R7,11,埼玉県,1103,東部,1160035,1107679
R7,11,埼玉県,1104,さいたま,1350500,1361675
R7,11,埼玉県,1105,県央,532118,478864
R7,11,埼玉県,1106,川越比企,782551,714518
R7,11,埼玉県,1107,西部,766308,689494
R7,11,埼玉県,1108,利根,633893,539773
R7,11,埼玉県,1109,北部,494168,429578
R7,11,埼玉県,1110,秩父,90119,66796
R7,12,千葉県,1201,千葉,983896,929803
R7,12,千葉県,1202,東葛南部,1806989,1806921
R7,12,千葉県,1203,東葛北部,1435446,1422591
R7,12,千葉県,1204,印旛,729327,675484
R7,12,千葉県,1205,香取海匝,250506,188693
R7,12,千葉県,1206,山武長生夷隅,401163,318974
R7,12,千葉県,1207,安房,114508,88482
R7,12,千葉県,1208,君津,322881,295558
R7,12,千葉県,1209,市原,266861,229289
R7,13,東京都,1301,区中央部,975447,1094523
R7,13,東京都,1302,区南部,1153305,1231618
R7,13,東京都,1303,区西南部,1436012,1549973
R7,13,東京都,1304,区西部,1271185,1351373
R7,13,東京都,1305,区西北部,1981574,2061929
R7,13,東京都,1306,区東北部,1390470,1398624
R7,13,東京都,1307,区東部,1522557,1569562
R7,13,東京都,1308,西多摩,373535,324331
R7,13,東京都,1309,南多摩,1419730,1400435
R7,13,東京都,1310,北多摩西部,663160,654160
R7,13,東京都,1311,北多摩南部,1046098,1102635
R7,13,東京都,1312,北多摩北部,746175,748610
R7,13,東京都,1313,島しょ,23153,19646
R7,14,神奈川県,1404,川崎北部,862715,900400
R7,14,神奈川県,1405,川崎南部,672426,706668
R7,14,神奈川県,1406,横須賀・三浦,683058,580176
R7,14,神奈川県,1407,湘南東部,741383,720853
R7,14,神奈川県,1408,湘南西部,574110,517803
R7,14,神奈川県,1409,県央,867199,816637
R7,14,神奈川県,1410,相模原,716494,682037
R7,14,神奈川県,1411,県西,331774,280400
R7,14,神奈川県,1412,横浜,3753389,3664048
R7,15,新潟県,1501,下越,190914,150934
R7,15,新潟県,1502,新潟,855357,749041
R7,15,新潟県,1503,県央,209259,166523
R7,15,新潟県,1504,中越,410221,345526
R7,15,新潟県,1505,魚沼,148746,110254
R7,15,新潟県,1506,上越,247995,195427
R7,15,新潟県,1507,佐渡,48103,32955
R7,16,富山県,1601,新川,110401,87352
R7,16,富山県,1602,富山,482510,427856
R7,16,富山県,1603,高岡,295023,241800
R7,16,富山県,1604,砺波,120602,94904
R7,17,石川県,1701,南加賀,222923,188743
R7,17,石川県,1702,石川中央,709611,674837
R7,17,石川県,1703,能登中部,112045,80073
R7,17,石川県,1704,能登北部,53540,35273
R7,18,福井県,1801,福井・坂井,386409,342236
R7,18,福井県,1802,奥越,50877,37244
R7,18,福井県,1803,丹南,180109,151871
R7,18,福井県,1804,嶺南,129281,107831
R7,19,山梨県,1901,中北,457106,410682
R7,19,山梨県,1902,峡東,128646,103675
R7,19,山梨県,1903,峡南,45649,31592
R7,19,山梨県,1904,富士・東部,169520,135162
R7,20,長野県,2001,佐久,206344,180353
R7,20,長野県,2002,上小,190098,166815
R7,20,長野県,2003,諏訪,188761,160523
R7,20,長野県,2004,上伊那,176899,152409
R7,20,長野県,2005,飯伊,150539,125437
R7,20,長野県,2006,木曽,23712,16509
R7,20,長野県,2007,松本,415860,381639
