published_fy,pref_code,pref_name,area_code,area_name,record_id,source_sheet,source_row,facility_seq,facility_name,municipality
R7,01,北海道,0101,南渡島,R7-0101-14,101北海道南渡島,14,1,市立函館病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-15,101北海道南渡島,15,2,函館中央病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-16,101北海道南渡島,16,3,函館五稜郭病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-17,101北海道南渡島,17,4,共愛会病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-18,101北海道南渡島,18,5,独立行政法人国立病院機構函館医療センター,函館市
R7,01,北海道,0101,南渡島,R7-0101-19,101北海道南渡島,19,6,社会福祉法人北海道社会事業協会函館病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-20,101北海道南渡島,20,7,函館市医師会病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-21,101北海道南渡島,21,8,ななえ新病院,七飯町
R7,01,北海道,0101,南渡島,R7-0101-22,101北海道南渡島,22,9,亀田病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-23,101北海道南渡島,23,10,社会医療法人仁生会西堀病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-24,101北海道南渡島,24,11,医療法人雄心会函館新都市病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-25,101北海道南渡島,25,12,函館赤十字病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-26,101北海道南渡島,26,13,社会医療法人函館脳神経外科　函館脳神経外科病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-27,101北海道南渡島,27,14,函館渡辺病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-28,101北海道南渡島,28,15,社会医療法人高橋病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-29,101北海道南渡島,29,16,医療法人同仁会函館記念病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-30,101北海道南渡島,30,17,社会医療法人道南勤労者医療協会道南勤医協函館稜北病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-31,101北海道南渡島,31,18,木古内町国民健康保険病院,木古内町
R7,01,北海道,0101,南渡島,R7-0101-32,101北海道南渡島,32,19,医療法人聖仁会森病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-33,101北海道南渡島,33,20,医療法人雄心会新都市砂原病院,森町
R7,01,北海道,0101,南渡島,R7-0101-34,101北海道南渡島,34,21,特定医療法人富田病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-35,101北海道南渡島,35,22,花園記念病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-36,101北海道南渡島,36,23,市立函館恵山病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-37,101北海道南渡島,37,24,松前町立松前病院,松前町
R7,01,北海道,0101,南渡島,R7-0101-38,101北海道南渡島,38,25,森町国民健康保険病院,森町
R7,01,北海道,0101,南渡島,R7-0101-39,101北海道南渡島,39,26,市立函館南茅部病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-40,101北海道南渡島,40,27,医療法人社団健和会函館おおむら整形外科病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-41,101北海道南渡島,41,28,江口眼科病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-42,101北海道南渡島,42,29,医療法人社団玄心会吉田眼科病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-43,101北海道南渡島,43,30,医療法人社団立青会なるかわ病院,七飯町
R7,01,北海道,0101,南渡島,R7-0101-44,101北海道南渡島,44,31,医療法人敬仁会函館おしま病院,函館市
R7,01,北海道,0101,南渡島,R7-0101-45,101北海道南渡島,45,32,医療法人社団陵仁会えんどう桔梗マタニティクリニック,函館市
R7,01,北海道,0101,南渡島,R7-0101-46,101北海道南渡島,46,33,医療法人社団山樹会平山医院,函館市
R7,01,北海道,0101,南渡島,R7-0101-47,101北海道南渡島,47,34,平田泌尿器科,函館市
R7,01,北海道,0101,南渡島,R7-0101-48,101北海道南渡島,48,35,医療法人秀真会藤岡眼科,函館市
R7,01,北海道,0101,南渡島,R7-0101-49,101北海道南渡島,49,36,ひでしま内科クリニック,函館市
R7,01,北海道,0101,南渡島,R7-0101-50,101北海道南渡島,50,37,医療法人悠康会函館整形外科クリニック,函館市
R7,01,北海道,0101,南渡島,R7-0101-51,101北海道南渡島,51,38,中島内科循環器科メンタルクリニック,函館市
R7,01,北海道,0101,南渡島,R7-0101-52,101北海道南渡島,52,39,町立江良診療所,松前町
R7,01,北海道,0101,南渡島,R7-0101-53,101北海道南渡島,53,40,渡島リハビリテーションセンター診療所,鹿部町
R7,01,北海道,0101,南渡島,R7-0101-54,101北海道南渡島,54,41,医療法人社団向整形外科クリニック,森町
R7,01,北海道,0101,南渡島,R7-0101-55,101北海道南渡島,55,42,医療法人社団明誠会こじま産婦人科,函館市
R7,01,北海道,0101,南渡島,R7-0101-56,101北海道南渡島,56,43,深瀬医院,函館市
R7,01,北海道,0101,南渡島,R7-0101-57,101北海道南渡島,57,44,函館泌尿器科,函館市
R7,01,北海道,0101,南渡島,R7-0101-58,101北海道南渡島,58,45,秋山ウィメンズ・ＡＲＴクリニック,函館市
R7,01,北海道,0101,南渡島,R7-0101-59,101北海道南渡島,59,46,医療法人社団花園眼科医院,函館市
R7,01,北海道,0101,南渡島,R7-0101-60,101北海道南渡島,60,47,三浦レディースクリニック,函館市
R7,01,北海道,0101,南渡島,R7-0101-61,101北海道南渡島,61,48,医療法人社団産科婦人科白鳥クリニック,函館市
R7,01,北海道,0101,南渡島,R7-0101-62,101北海道南渡島,62,49,湯の川女性クリニック,函館市
R7,01,北海道,0101,南渡島,R7-0101-63,101北海道南渡島,63,50,医療法人正衛会しいき循環器科内科医院,北斗市
R7,01,北海道,0102,南檜山,R7-0102-14,102北海道南檜山,14,1,北海道立江差病院,江差町
R7,01,北海道,0102,南檜山,R7-0102-15,102北海道南檜山,15,2,厚沢部町国民健康保険病院,厚沢部町
R7,01,北海道,0102,南檜山,R7-0102-16,102北海道南檜山,16,3,乙部町国民健康保険病院,乙部町
R7,01,北海道,0102,南檜山,R7-0102-17,102北海道南檜山,17,4,医療法人社団恵愛会佐々木病院,江差町
R7,01,北海道,0102,南檜山,R7-0102-18,102北海道南檜山,18,5,奥尻町国民健康保険病院,奥尻町
R7,01,北海道,0102,南檜山,R7-0102-19,102北海道南檜山,19,6,町立上ノ国診療所,上ノ国町
R7,01,北海道,0102,南檜山,R7-0102-20,102北海道南檜山,20,7,医療法人雄心会江差脳神経外科クリニック,江差町
R7,01,北海道,0103,北渡島檜山,R7-0103-14,103北海道北渡島檜山,14,1,八雲総合病院,八雲町
R7,01,北海道,0103,北渡島檜山,R7-0103-15,103北海道北渡島檜山,15,2,医療法人財団明理会道南ロイヤル病院,せたな町
R7,01,北海道,0103,北渡島檜山,R7-0103-16,103北海道北渡島檜山,16,3,八雲町熊石国民健康保険病院,八雲町
R7,01,北海道,0103,北渡島檜山,R7-0103-17,103北海道北渡島檜山,17,4,長万部町立病院,長万部町
R7,01,北海道,0103,北渡島檜山,R7-0103-18,103北海道北渡島檜山,18,5,せたな町立国保病院,せたな町
R7,01,北海道,0103,北渡島檜山,R7-0103-19,103北海道北渡島檜山,19,6,今金町国保病院,今金町
R7,01,北海道,0104,札幌,R7-0104-14,104北海道札幌,14,1,北海道大学病院,札幌市北区
R7,01,北海道,0104,札幌,R7-0104-15,104北海道札幌,15,2,札幌医科大学附属病院,札幌市中央区
R7,01,北海道,0104,札幌,R7-0104-16,104北海道札幌,16,3,手稲渓仁会病院,札幌市手稲区
R7,01,北海道,0104,札幌,R7-0104-17,104北海道札幌,17,4,市立札幌病院,札幌市中央区
R7,01,北海道,0104,札幌,R7-0104-18,104北海道札幌,18,5,札幌西円山病院,札幌市中央区
R7,01,北海道,0104,札幌,R7-0104-19,104北海道札幌,19,6,独立行政法人国立病院機構 北海道医療センター,札幌市西区
R7,01,北海道,0104,札幌,R7-0104-20,104北海道札幌,20,7,ＪＡ北海道厚生連札幌厚生病院,札幌市中央区
R7,01,北海道,0104,札幌,R7-0104-21,104北海道札幌,21,8,社会医療法人 医仁会 中村記念病院,札幌市中央区
R7,01,北海道,0104,札幌,R7-0104-22,104北海道札幌,22,9,医療法人愛全病院,札幌市南区
R7,01,北海道,0104,札幌,R7-0104-23,104北海道札幌,23,10,勤医協中央病院,札幌市東区
R7,01,北海道,0104,札幌,R7-0104-24,104北海道札幌,24,11,独立行政法人国立病院機構北海道がんセンター,札幌市白石区
R7,01,北海道,0104,札幌,R7-0104-25,104北海道札幌,25,12,ＫＫＲ札幌医療センター,札幌市豊平区
R7,01,北海道,0104,札幌,R7-0104-26,104北海道札幌,26,13,医療法人中山会 新札幌パウロ病院,札幌市厚別区
R7,01,北海道,0104,札幌,R7-0104-27,104北海道札幌,27,14,医療法人札幌宮の沢病院,札幌市手稲区
R7,01,北海道,0104,札幌,R7-0104-28,104北海道札幌,28,15,医療法人札幌緑誠病院,札幌市手稲区
R7,01,北海道,0104,札幌,R7-0104-29,104北海道札幌,29,16,医療法人福和会 札幌立花病院,札幌市手稲区
R7,01,北海道,0104,札幌,R7-0104-30,104北海道札幌,30,17,医療法人徳洲会 札幌東徳洲会病院,札幌市東区
R7,01,北海道,0104,札幌,R7-0104-31,104北海道札幌,31,18,札幌田中病院,札幌市手稲区
R7,01,北海道,0104,札幌,R7-0104-32,104北海道札幌,32,19,カレス記念病院,札幌市東区
R7,01,北海道,0104,札幌,R7-0104-33,104北海道札幌,33,20,ＪＲ札幌病院,札幌市中央区
R7,01,北海道,0104,札幌,R7-0104-34,104北海道札幌,34,21,独立行政法人地域医療機能推進機構北海道病院,札幌市豊平区
R7,01,北海道,0104,札幌,R7-0104-35,104北海道札幌,35,22,医療法人徳洲会 札幌徳洲会病院,札幌市厚別区
R7,01,北海道,0104,札幌,R7-0104-36,104北海道札幌,36,23,ＮＴＴ東日本札幌病院,札幌市中央区
R7,01,北海道,0104,札幌,R7-0104-37,104北海道札幌,37,24,医療法人札幌山の上病院,札幌市西区
R7,01,北海道,0104,札幌,R7-0104-38,104北海道札幌,38,25,医療法人晴生会　晴生会さっぽろ病院,札幌市南区
R7,01,北海道,0104,札幌,R7-0104-39,104北海道札幌,39,26,国家公務員共済組合連合会 斗南病院,札幌市中央区
R7,01,北海道,0104,札幌,R7-0104-40,104北海道札幌,40,27,社会医療法人北楡会 札幌北楡病院,札幌市白石区
R7,01,北海道,0104,札幌,R7-0104-41,104北海道札幌,41,28,定山渓病院,札幌市南区
R7,01,北海道,0104,札幌,R7-0104-42,104北海道札幌,42,29,医療法人尚仁会 真栄病院,札幌市清田区
R7,01,北海道,0104,札幌,R7-0104-43,104北海道札幌,43,30,社会医療法人孝仁会　札幌孝仁会記念病院,札幌市西区
R7,01,北海道,0104,札幌,R7-0104-44,104北海道札幌,44,31,独立行政法人地域医療機能推進機構札幌北辰病院,札幌市厚別区
R7,01,北海道,0104,札幌,R7-0104-45,104北海道札幌,45,32,医療法人社団北樹会病院,札幌市豊平区
R7,01,北海道,0104,札幌,R7-0104-46,104北海道札幌,46,33,江別市立病院,江別市
R7,01,北海道,0104,札幌,R7-0104-47,104北海道札幌,47,34,社会医療法人禎心会 札幌禎心会病院,札幌市東区
R7,01,北海道,0104,札幌,R7-0104-48,104北海道札幌,48,35,社会医療法人康和会 札幌しらかば台病院,札幌市豊平区
R7,01,北海道,0104,札幌,R7-0104-49,104北海道札幌,49,36,天使病院,札幌市東区
R7,01,北海道,0104,札幌,R7-0104-50,104北海道札幌,50,37,医療法人社団明日佳 札幌明日佳病院,札幌市中央区
R7,01,北海道,0104,札幌,R7-0104-51,104北海道札幌,51,38,医療法人東札幌病院,札幌市白石区
R7,01,北海道,0104,札幌,R7-0104-52,104北海道札幌,52,39,医療法人社団恵和会 宮の森病院,札幌市中央区
R7,01,北海道,0104,札幌,R7-0104-53,104北海道札幌,53,40,医療法人社団豊武会 幌東病院,札幌市白石区
R7,01,北海道,0104,札幌,R7-0104-54,104北海道札幌,54,41,北海道整形外科記念病院,札幌市豊平区
R7,01,北海道,0104,札幌,R7-0104-55,104北海道札幌,55,42,医療法人札幌平岡病院,札幌市清田区
R7,01,北海道,0104,札幌,R7-0104-56,104北海道札幌,56,43,社会医療法人康和会 札幌しらかば台篠路病院,札幌市北区
R7,01,北海道,0104,札幌,R7-0104-57,104北海道札幌,57,44,恵庭第一病院,恵庭市
R7,01,北海道,0104,札幌,R7-0104-58,104北海道札幌,58,45,社会医療法人恵佑会札幌病院,札幌市白石区
R7,01,北海道,0104,札幌,R7-0104-59,104北海道札幌,59,46,社会医療法人社団三草会 クラーク病院,札幌市東区
R7,01,北海道,0104,札幌,R7-0104-60,104北海道札幌,60,47,医療法人社団 札幌百合の会病院,札幌市北区
R7,01,北海道,0104,札幌,R7-0104-61,104北海道札幌,61,48,医療法人社団明日佳 白石明日佳病院,札幌市白石区
R7,01,北海道,0104,札幌,R7-0104-62,104北海道札幌,62,49,医療法人社団西の里恵仁会病院,北広島市
R7,01,北海道,0104,札幌,R7-0104-63,104北海道札幌,63,50,北海道立子ども総合医療・療育センター,札幌市手稲区
R7,01,北海道,0104,札幌,R7-0104-64,104北海道札幌,64,51,医療法人　札幌東和病院,札幌市東区
R7,01,北海道,0104,札幌,R7-0104-65,104北海道札幌,65,52,医療法人渓和会江別病院,江別市
R7,01,北海道,0104,札幌,R7-0104-66,104北海道札幌,66,53,社会医療法人北晨会恵み野病院,恵庭市
R7,01,北海道,0104,札幌,R7-0104-67,104北海道札幌,67,54,医療法人社団　静和会　静和記念病院,札幌市西区
R7,01,北海道,0104,札幌,R7-0104-68,104北海道札幌,68,55,社会医療法人豊生会　東苗穂病院,札幌市東区
R7,01,北海道,0104,札幌,R7-0104-69,104北海道札幌,69,56,市立千歳市民病院,千歳市
R7,01,北海道,0104,札幌,R7-0104-70,104北海道札幌,70,57,医療法人為久会 札幌共立五輪橋病院,札幌市南区
R7,01,北海道,0104,札幌,R7-0104-71,104北海道札幌,71,58,医療法人　讃生会　北野病院,札幌市清田区
