record_id,pref_code,pref_name,area_code,area_name,facility_name,municipality,linkage_match_status,linkage_match_method,current_longitude,current_latitude,reference_status,reference_kind,reference_id,reference_name,reference_address,reference_longitude,reference_latitude,reference_area_code,distance_m,audit_status
R7-0101-14,01,北海道,0101,南渡島,市立函館病院,函館市,matched,normalized_exact,140.7301711,41.80541985,unique,病院,0111010002560,市立函館病院,北海道函館市港町１丁目１０番１号,140.729451,41.805319,0101,60.7,agree
R7-0101-15,01,北海道,0101,南渡島,函館中央病院,函館市,matched,normalized_exact,140.7519212,41.78666758,unique,病院,0111010002610,函館中央病院,北海道函館市本町３３番２号,140.751521,41.786548,0101,35.7,agree
R7-0101-16,01,北海道,0101,南渡島,函館五稜郭病院,函館市,matched,normalized_exact,140.755523,41.7924566,none,,,,,,,,,no_reference
R7-0101-17,01,北海道,0101,南渡島,共愛会病院,函館市,matched,normalized_exact,140.7406261,41.78547852,none,,,,,,,,,no_reference
R7-0101-18,01,北海道,0101,南渡島,独立行政法人国立病院機構函館医療センター,函館市,unmatched,none,,,unique,病院,0111010002550,独立行政法人国立病院機構函館医療センター,北海道函館市川原町１８番１６号,140.773620,41.788897,0101,,missing_with_reference
R7-0101-19,01,北海道,0101,南渡島,社会福祉法人北海道社会事業協会函館病院,函館市,matched,normalized_exact,140.7707975,41.78451606,none,,,,,,,,,no_reference
R7-0101-20,01,北海道,0101,南渡島,函館市医師会病院,函館市,matched,normalized_exact,140.7530393,41.80698351,none,,,,,,,,,no_reference
R7-0101-21,01,北海道,0101,南渡島,ななえ新病院,七飯町,matched,normalized_exact,140.704009,41.8957942,unique,病院,0111010003060,ななえ新病院,北海道亀田郡七飯町本町７丁目６５７番地５,140.704288,41.896440,0101,75.4,agree
R7-0101-22,01,北海道,0101,南渡島,亀田病院,函館市,matched,normalized_exact,140.7446432,41.8180305,unique,病院,0111010002660,亀田病院,北海道函館市昭和１丁目２３番１１号,140.744593,41.818282,0101,28.3,agree
R7-0101-23,01,北海道,0101,南渡島,社会医療法人仁生会西堀病院,函館市,matched,normalized_exact,140.75831623582877,41.805893037104276,unique,病院,0111010002710,社会医療法人仁生会　西堀病院,北海道函館市中道２丁目６番１１号,140.758398,41.805839,0101,9.1,agree
R7-0101-24,01,北海道,0101,南渡島,医療法人雄心会函館新都市病院,函館市,matched,normalized_exact,140.7384375,41.82501194,unique,病院,0111010002830,医療法人　雄心会　函館新都市病院,北海道函館市石川町３３１番地１,140.738621,41.825031,0101,15.4,agree
R7-0101-25,01,北海道,0101,南渡島,函館赤十字病院,函館市,matched,normalized_exact,140.740814,41.77848376,none,,,,,,,,,no_reference
R7-0101-26,01,北海道,0101,南渡島,社会医療法人函館脳神経外科　函館脳神経外科病院,函館市,matched,normalized_suffix,140.76304336876925,41.81310803057773,none,,,,,,,,,no_reference
R7-0101-27,01,北海道,0101,南渡島,函館渡辺病院,函館市,matched,normalized_exact,140.78537131932723,41.781472347881454,none,,,,,,,,,no_reference
R7-0101-28,01,北海道,0101,南渡島,社会医療法人高橋病院,函館市,matched,normalized_exact,140.7119891969595,41.765456353664185,unique,病院,0111010002700,社会医療法人　高橋病院,北海道函館市時任町１番２号,140.750342,41.781416,0101,3642.1,conflict
R7-0101-29,01,北海道,0101,南渡島,医療法人同仁会函館記念病院,函館市,matched,normalized_exact,140.7360412327281,41.807233751224395,none,,,,,,,,,no_reference
R7-0101-30,01,北海道,0101,南渡島,社会医療法人道南勤労者医療協会道南勤医協函館稜北病院,函館市,matched,normalized_suffix,140.7623921,41.81217053,unique,病院,0111010002630,社会医療法人道南勤労者医療協会　道南勤医協函館稜北病院,北海道函館市中道２丁目５１番１号,140.762287,41.812227,0101,10.7,agree
R7-0101-31,01,北海道,0101,南渡島,木古内町国民健康保険病院,木古内町,matched,normalized_exact,140.4370639,41.67516409,none,,,,,,,,,no_reference
R7-0101-32,01,北海道,0101,南渡島,医療法人聖仁会森病院,函館市,matched,normalized_exact,140.7535664,41.86042665,none,,,,,,,,,no_reference
R7-0101-33,01,北海道,0101,南渡島,医療法人雄心会新都市砂原病院,森町,matched,normalized_exact,140.662962,42.12687966,none,,,,,,,,,no_reference
R7-0101-34,01,北海道,0101,南渡島,特定医療法人富田病院,函館市,matched,normalized_exact,140.77362379502657,41.78501972020405,unique,病院,0111010002690,特定医療法人　富田病院,北海道函館市駒場町９番１８号,140.773648,41.785008,0101,2.4,agree
R7-0101-35,01,北海道,0101,南渡島,花園記念病院,函館市,unmatched,none,,,none,,,,,,,,,missing_without_reference
R7-0101-36,01,北海道,0101,南渡島,市立函館恵山病院,函館市,matched,normalized_exact,141.0979224,41.77554015,unique,病院,0111010002840,市立函館恵山病院,北海道函館市日ノ浜町１５番地１,141.097768,41.775325,0101,27.1,agree
R7-0101-37,01,北海道,0101,南渡島,松前町立松前病院,松前町,matched,normalized_exact,140.0964366,41.42729384,unique,病院,0111010003040,松前町立松前病院,北海道松前郡松前町字大磯１７４番地１,140.096304,41.427312,0101,11.2,agree
R7-0101-38,01,北海道,0101,南渡島,森町国民健康保険病院,森町,matched,normalized_exact,140.5672367,42.10274155,unique,病院,0111010003080,森町国民健康保険病院,北海道茅部郡森町字上台町３２６番地,140.567123,42.102915,0101,21.4,agree
R7-0101-39,01,北海道,0101,南渡島,市立函館南茅部病院,函館市,matched,normalized_exact,140.9574793,41.91688794,unique,病院,0111010002850,市立函館南茅部病院,北海道函館市安浦町９２番地,140.957549,41.917016,0101,15.4,agree
R7-0101-40,01,北海道,0101,南渡島,医療法人社団健和会函館おおむら整形外科病院,函館市,matched,normalized_exact,140.74572629243053,41.83252041206567,none,,,,,,,,,no_reference
R7-0101-41,01,北海道,0101,南渡島,江口眼科病院,函館市,matched,normalized_exact,140.7196169,41.76324322,none,,,,,,,,,no_reference
R7-0101-42,01,北海道,0101,南渡島,医療法人社団玄心会吉田眼科病院,函館市,matched,normalized_exact,140.7709171509786,41.79877553741164,none,,,,,,,,,no_reference
R7-0101-43,01,北海道,0101,南渡島,医療法人社団立青会なるかわ病院,七飯町,matched,normalized_exact,140.71135073554007,41.88565418004973,none,,,,,,,,,no_reference
R7-0101-44,01,北海道,0101,南渡島,医療法人敬仁会函館おしま病院,函館市,matched,normalized_exact,140.7529507,41.77754211,unique,病院,0111010002650,医療法人敬仁会　函館おしま病院,北海道函館市的場町１９番６号,140.752817,41.777703,0101,21.0,agree
R7-0101-45,01,北海道,0101,南渡島,医療法人社団陵仁会えんどう桔梗マタニティクリニック,函館市,matched,normalized_exact,140.7336555753093,41.84895251326543,none,,,,,,,,,no_reference
R7-0101-46,01,北海道,0101,南渡島,医療法人社団山樹会平山医院,函館市,matched,normalized_exact,140.728361165275,41.76980273741374,none,,,,,,,,,no_reference
R7-0101-47,01,北海道,0101,南渡島,平田泌尿器科,函館市,matched,normalized_exact,140.769681,41.80051975,none,,,,,,,,,no_reference
R7-0101-48,01,北海道,0101,南渡島,医療法人秀真会藤岡眼科,函館市,matched,normalized_exact,140.74196106261817,41.83099431037078,none,,,,,,,,,no_reference
R7-0101-49,01,北海道,0101,南渡島,ひでしま内科クリニック,函館市,matched,normalized_exact,140.7292947,41.7960612,none,,,,,,,,,no_reference
R7-0101-50,01,北海道,0101,南渡島,医療法人悠康会函館整形外科クリニック,函館市,matched,normalized_exact,140.7391707,41.82341739,none,,,,,,,,,no_reference
R7-0101-51,01,北海道,0101,南渡島,中島内科循環器科メンタルクリニック,函館市,matched,normalized_exact,140.7354015,41.76944336,none,,,,,,,,,no_reference
R7-0101-52,01,北海道,0101,南渡島,町立江良診療所,松前町,matched,normalized_exact,139.9915148,41.54826063,unique,診療所,0122010002950,町立江良診療所,北海道松前郡松前町字江良８７２番地１,139.991668,41.548131,0101,19.2,agree
R7-0101-53,01,北海道,0101,南渡島,渡島リハビリテーションセンター診療所,鹿部町,matched,normalized_exact,140.833571,42.02424045,none,,,,,,,,,no_reference
R7-0101-54,01,北海道,0101,南渡島,医療法人社団向整形外科クリニック,森町,matched,normalized_exact,140.5688130961994,42.10484753734972,unique,診療所,0122010003050,医療法人社団向整形外科クリニック,北海道茅部郡森町字上台町２２１番地,140.568830,42.104813,0101,4.1,agree
R7-0101-55,01,北海道,0101,南渡島,医療法人社団明誠会こじま産婦人科,函館市,matched,normalized_exact,140.76076708738225,41.81382534894002,none,,,,,,,,,no_reference
R7-0101-56,01,北海道,0101,南渡島,深瀬医院,函館市,matched,normalized_exact,140.7369369,41.7864579,none,,,,,,,,,no_reference
R7-0101-57,01,北海道,0101,南渡島,函館泌尿器科,函館市,matched,normalized_exact,140.734245,41.83468914,none,,,,,,,,,no_reference
R7-0101-58,01,北海道,0101,南渡島,秋山ウィメンズ・ＡＲＴクリニック,函館市,unmatched,none,,,unique,診療所,0122013200020,秋山ウィメンズ・ＡＲＴクリニック,北海道函館市石川町４１－９,140.740121,41.828236,0101,,missing_with_reference
R7-0101-59,01,北海道,0101,南渡島,医療法人社団花園眼科医院,函館市,matched,normalized_exact,140.78357027246557,41.79402775019635,none,,,,,,,,,no_reference
R7-0101-60,01,北海道,0101,南渡島,三浦レディースクリニック,函館市,matched,normalized_exact,140.7545415,41.79001136,none,,,,,,,,,no_reference
R7-0101-61,01,北海道,0101,南渡島,医療法人社団産科婦人科白鳥クリニック,函館市,matched,normalized_exact,140.74608957392178,41.795418429428864,unique,診療所,0122010020050,医療法人社団産科婦人科白鳥クリニック,北海道函館市白鳥町１３番１８号,140.746010,41.795404,0101,6.8,agree
R7-0101-62,01,北海道,0101,南渡島,湯の川女性クリニック,函館市,matched,normalized_exact,140.7911741,41.78080621,unique,診療所,0122010002630,湯の川女性クリニック,北海道函館市湯川町２丁目１７番８号,140.791225,41.780821,0101,4.5,agree
R7-0101-63,01,北海道,0101,南渡島,医療法人正衛会しいき循環器科内科医院,北斗市,matched,normalized_exact,140.6546756,41.88201931,unique,診療所,0122010003010,医療法人正衛会しいき循環器科内科医院,北海道北斗市本町６６５番地の１８,140.654653,41.882079,0101,6.9,agree
