record_id,area_code,facility_name,facility_name_normalized,municipality,match_status,match_method,reason_code,candidate_count,match_score,p04_feature_index,p04_name,p04_name_normalized,p04_category,p04_address,p04_municipality,p04_beds,longitude,latitude
R7-0101-14,0101,市立函館病院,市立函館病院,函館市,matched,normalized_exact,,1,,528,市立函館病院,市立函館病院,1,函館市港町1丁目10番1号,函館市,648,140.7301711,41.80541985
R7-0101-15,0101,函館中央病院,函館中央病院,函館市,matched,normalized_exact,,1,,542,函館中央病院,函館中央病院,1,函館市本町33番2号,函館市,527,140.7519212,41.78666758
R7-0101-16,0101,函館五稜郭病院,函館五稜郭病院,函館市,matched,normalized_exact,,1,,541,函館五稜郭病院,函館五稜郭病院,1,函館市五稜郭町38番3号,函館市,480,140.755523,41.7924566
R7-0101-17,0101,共愛会病院,共愛会病院,函館市,matched,normalized_exact,,1,,524,共愛会病院,共愛会病院,1,函館市中島町7番21号,函館市,378,140.7406261,41.78547852
R7-0101-18,0101,独立行政法人国立病院機構函館医療センター,国立病院機構函館医療センタ,函館市,unmatched,none,no_name_match,0,,,,,,,,,,
R7-0101-19,0101,社会福祉法人北海道社会事業協会函館病院,北海道社会事業協会函館病院,函館市,matched,normalized_exact,,1,,527,社会福祉法人北海道社会事業協会函館病院,北海道社会事業協会函館病院,1,函館市駒場町4番6号,函館市,286,140.7707975,41.78451606
R7-0101-20,0101,函館市医師会病院,函館市医師会病院,函館市,matched,normalized_exact,,1,,535,函館市医師会病院,函館市医師会病院,1,函館市富岡町2丁目10番10号,函館市,240,140.7530393,41.80698351
R7-0101-21,0101,ななえ新病院,ななえ新病院,七飯町,matched,normalized_exact,,1,,520,ななえ新病院,ななえ新病院,1,亀田郡七飯町本町７丁目657番地5,七飯町,199,140.704009,41.8957942
R7-0101-22,0101,亀田病院,亀田病院,函館市,matched,normalized_exact,,1,,526,医療法人亀田病院,亀田病院,1,函館市昭和1丁目23番11号,函館市,179,140.7446432,41.8180305
R7-0101-23,0101,社会医療法人仁生会西堀病院,仁生会西堀病院,函館市,matched,normalized_exact,,1,,538,社会医療法人仁生会西堀病院,仁生会西堀病院,1,函館市中道2丁目6番11号,函館市,168,140.75831623582877,41.805893037104276
R7-0101-24,0101,医療法人雄心会函館新都市病院,雄心会函館新都市病院,函館市,matched,normalized_exact,,1,,532,医療法人雄心会函館新都市病院,雄心会函館新都市病院,1,函館市石川町331番地1,函館市,155,140.7384375,41.82501194
R7-0101-25,0101,函館赤十字病院,函館赤十字病院,函館市,matched,normalized_exact,,1,,546,函館赤十字病院,函館赤十字病院,1,函館市堀川町6番21号,函館市,150,140.740814,41.77848376
R7-0101-26,0101,社会医療法人函館脳神経外科　函館脳神経外科病院,函館脳神経外科函館脳神経外科病院,函館市,matched,normalized_suffix,,1,,530,医療法人社団函館脳神経外科病院,函館脳神経外科病院,1,函館市神山1丁目4番12号,函館市,128,140.76304336876925,41.81310803057773
R7-0101-27,0101,函館渡辺病院,函館渡辺病院,函館市,matched,normalized_exact,,1,,543,函館渡辺病院,函館渡辺病院,1,函館市湯川町1丁目31番1号,函館市,563,140.78537131932723,41.781472347881454
R7-0101-28,0101,社会医療法人高橋病院,高橋病院,函館市,matched,normalized_exact,,1,,544,社会医療法人高橋病院,高橋病院,1,函館市元町32番18号,函館市,179,140.7119891969595,41.765456353664185
R7-0101-29,0101,医療法人同仁会函館記念病院,同仁会函館記念病院,函館市,matched,normalized_exact,,1,,539,医療法人同仁会函館記念病院,同仁会函館記念病院,1,函館市亀田本町36番1号,函館市,222,140.7360412327281,41.807233751224395
R7-0101-30,0101,社会医療法人道南勤労者医療協会道南勤医協函館稜北病院,道南勤労者医療協会道南勤医協函館稜北病院,函館市,matched,normalized_suffix,,1,,537,道南勤医協函館稜北病院,道南勤医協函館稜北病院,1,函館市中道2丁目51番1号,函館市,104,140.7623921,41.81217053
R7-0101-31,0101,木古内町国民健康保険病院,木古内町国民健康保険病院,木古内町,matched,normalized_exact,,1,,521,木古内町国民健康保険病院,木古内町国民健康保険病院,1,上磯郡木古内町字本町710番地,木古内町,99,140.4370639,41.67516409
R7-0101-32,0101,医療法人聖仁会森病院,聖仁会森病院,函館市,matched,normalized_exact,,1,,529,医療法人聖仁会森病院,聖仁会森病院,1,函館市桔梗町557番地,函館市,135,140.7535664,41.86042665
R7-0101-33,0101,医療法人雄心会新都市砂原病院,雄心会新都市砂原病院,森町,matched,normalized_exact,,1,,517,医療法人雄心会新都市砂原病院,雄心会新都市砂原病院,1,茅部郡森町字砂原1丁目30番地59,森町,83,140.662962,42.12687966
R7-0101-34,0101,特定医療法人富田病院,富田病院,函館市,matched,normalized_exact,,1,,545,特定医療法人富田病院,富田病院,1,函館市駒場町9番18号,函館市,390,140.77362379502657,41.78501972020405
R7-0101-35,0101,花園記念病院,花園記念病院,函館市,unmatched,none,no_name_match,0,,,,,,,,,,
R7-0101-36,0101,市立函館恵山病院,市立函館恵山病院,函館市,matched,normalized_exact,,1,,547,市立函館恵山病院,市立函館恵山病院,1,函館市日ノ浜町15番地1,函館市,60,141.0979224,41.77554015
R7-0101-37,0101,松前町立松前病院,松前町立松前病院,松前町,matched,normalized_exact,,1,,522,松前町立松前病院,松前町立松前病院,1,松前郡松前町字大磯174番地の1,松前町,100,140.0964366,41.42729384
R7-0101-38,0101,森町国民健康保険病院,森町国民健康保険病院,森町,matched,normalized_exact,,1,,518,森町国民健康保険病院,森町国民健康保険病院,1,茅部郡森町字上台町326,森町,60,140.5672367,42.10274155
R7-0101-39,0101,市立函館南茅部病院,市立函館南茅部病院,函館市,matched,normalized_exact,,1,,549,市立函館南茅部病院,市立函館南茅部病院,1,函館市安浦町92番地,函館市,59,140.9574793,41.91688794
R7-0101-40,0101,医療法人社団健和会函館おおむら整形外科病院,健和会函館おおむら整形外科病院,函館市,matched,normalized_exact,,1,,525,医療法人社団健和会函館おおむら整形外科病院,健和会函館おおむら整形外科病院,1,函館市石川町125番地1,函館市,56,140.74572629243053,41.83252041206567
R7-0101-41,0101,江口眼科病院,江口眼科病院,函館市,matched,normalized_exact,,1,,540,江口眼科病院,江口眼科病院,1,函館市末広町7番13号,函館市,49,140.7196169,41.76324322
R7-0101-42,0101,医療法人社団玄心会吉田眼科病院,玄心会吉田眼科病院,函館市,matched,normalized_exact,,1,,534,医療法人社団玄心会吉田眼科病院,玄心会吉田眼科病院,1,函館市本通2丁目31番8号,函館市,40,140.7709171509786,41.79877553741164
R7-0101-43,0101,医療法人社団立青会なるかわ病院,立青会なるかわ病院,七飯町,matched,normalized_exact,,1,,519,医療法人社団立青会なるかわ病院,立青会なるかわ病院,1,亀田郡七飯町鳴川4丁目325番1,七飯町,396,140.71135073554007,41.88565418004973
R7-0101-44,0101,医療法人敬仁会函館おしま病院,敬仁会函館おしま病院,函館市,matched,normalized_exact,,1,,536,医療法人敬仁会函館おしま病院,敬仁会函館おしま病院,1,函館市的場町19番6号,函館市,56,140.7529507,41.77754211
R7-0101-45,0101,医療法人社団陵仁会えんどう桔梗マタニティクリニック,陵仁会えんどう桔梗マタニティクリニック,函館市,matched,normalized_exact,,1,,6894,医療法人社団陵仁会えんどう桔梗マタニティクリニック,陵仁会えんどう桔梗マタニティクリニック,2,函館市桔梗5丁目7番15号,函館市,19,140.7336555753093,41.84895251326543
R7-0101-46,0101,医療法人社団山樹会平山医院,山樹会平山医院,函館市,matched,normalized_exact,,1,,6895,医療法人社団山樹会平山医院,山樹会平山医院,2,函館市東雲町6番11号,函館市,19,140.728361165275,41.76980273741374
R7-0101-47,0101,平田泌尿器科,平田泌尿器科,函館市,matched,normalized_exact,,1,,6901,平田泌尿器科,平田泌尿器科,2,函館市本通2丁目39番24号,函館市,19,140.769681,41.80051975
R7-0101-48,0101,医療法人秀真会藤岡眼科,秀真会藤岡眼科,函館市,matched,normalized_exact,,1,,6892,医療法人秀真会藤岡眼科,秀真会藤岡眼科,2,函館市石川町450番地2,函館市,19,140.74196106261817,41.83099431037078
R7-0101-49,0101,ひでしま内科クリニック,ひでしま内科クリニック,函館市,matched,normalized_exact,,1,,6893,ひでしま内科クリニック,ひでしま内科クリニック,2,函館市北浜町2番2号,函館市,19,140.7292947,41.7960612
R7-0101-50,0101,医療法人悠康会函館整形外科クリニック,悠康会函館整形外科クリニック,函館市,matched,normalized_exact,,1,,6891,医療法人悠康会函館整形外科クリニック,悠康会函館整形外科クリニック,2,函館市石川町2番地115,函館市,19,140.7391707,41.82341739
R7-0101-51,0101,中島内科循環器科メンタルクリニック,中島内科循環器科メンタルクリニック,函館市,matched,normalized_exact,,1,,6883,中島内科循環器科メンタルクリニック,中島内科循環器科メンタルクリニック,2,函館市大森町19番13号,函館市,19,140.7354015,41.76944336
R7-0101-52,0101,町立江良診療所,町立江良診療所,松前町,matched,normalized_exact,,1,,6881,町立江良診療所,町立江良診療所,2,松前郡松前町字江良８７２の１,松前町,19,139.9915148,41.54826063
R7-0101-53,0101,渡島リハビリテーションセンター診療所,渡島リハビリテションセンタ診療所,鹿部町,matched,normalized_exact,,1,,6879,渡島リハビリテーションセンター診療所,渡島リハビリテションセンタ診療所,2,茅部郡鹿部町字鹿部２５８番地の７,鹿部町,19,140.833571,42.02424045
R7-0101-54,0101,医療法人社団向整形外科クリニック,向整形外科クリニック,森町,matched,normalized_exact,,1,,6878,医療法人社団向整形外科クリニック,向整形外科クリニック,2,茅部郡森町字上台町２２１番地,森町,19,140.5688130961994,42.10484753734972
R7-0101-55,0101,医療法人社団明誠会こじま産婦人科,明誠会こじま産婦人科,函館市,matched,normalized_exact,,1,,6896,医療法人社団明誠会こじま産婦人科,明誠会こじま産婦人科,2,函館市神山1丁目12番9号,函館市,16,140.76076708738225,41.81382534894002
R7-0101-56,0101,深瀬医院,深瀬医院,函館市,matched,normalized_exact,,1,,6902,深瀬医院,深瀬医院,2,函館市松川町30番12号,函館市,15,140.7369369,41.7864579
R7-0101-57,0101,函館泌尿器科,函館泌尿器科,函館市,matched,normalized_exact,,1,,6898,函館泌尿器科,函館泌尿器科,2,函館市桔梗町418番地142,函館市,17,140.734245,41.83468914
R7-0101-58,0101,秋山ウィメンズ・ＡＲＴクリニック,秋山ウィメンズartクリニック,函館市,unmatched,none,no_name_match,0,,,,,,,,,,
R7-0101-59,0101,医療法人社団花園眼科医院,花園眼科医院,函館市,matched,normalized_exact,,1,,6888,医療法人社団花園眼科医院,花園眼科医院,2,函館市日吉町3丁目43番24号,函館市,6,140.78357027246557,41.79402775019635
R7-0101-60,0101,三浦レディースクリニック,三浦レディスクリニック,函館市,matched,normalized_exact,,1,,6884,三浦レディースクリニック,三浦レディスクリニック,2,函館市本町20番1号,函館市,1,140.7545415,41.79001136
R7-0101-61,0101,医療法人社団産科婦人科白鳥クリニック,産科婦人科白鳥クリニック,函館市,matched,normalized_exact,,1,,6899,医療法人社団産科婦人科白鳥クリニック,産科婦人科白鳥クリニック,2,函館市白鳥町13番18号,函館市,1,140.74608957392178,41.795418429428864
R7-0101-62,0101,湯の川女性クリニック,湯の川女性クリニック,函館市,matched,normalized_exact,,1,,6885,湯の川女性クリニック,湯の川女性クリニック,2,函館市湯川町2丁目17番8号,函館市,1,140.7911741,41.78080621
R7-0101-63,0101,医療法人正衛会しいき循環器科内科医院,正衛会しいき循環器科内科医院,北斗市,matched,normalized_exact,,1,,6880,医療法人正衛会しいき循環器科内科医院,正衛会しいき循環器科内科医院,2,北斗市本町６６５番地の１８,北斗市,19,140.6546756,41.88201931
R7-0102-14,0102,北海道立江差病院,北海道立江差病院,江差町,matched,normalized_exact,,1,,515,北海道立江差病院,北海道立江差病院,1,檜山郡江差町字伏木戸町484番地,江差町,198,140.1446847,41.91333028
R7-0102-15,0102,厚沢部町国民健康保険病院,厚沢部町国民健康保険病院,厚沢部町,matched,normalized_exact,,1,,514,厚沢部町国民健康保険病院,厚沢部町国民健康保険病院,1,檜山郡厚沢部町新町14番地1,厚沢部町,69,140.2234211,41.91770008
R7-0102-16,0102,乙部町国民健康保険病院,乙部町国民健康保険病院,乙部町,matched,normalized_exact,,1,,512,乙部町国民健康保険病院,乙部町国民健康保険病院,1,爾志郡乙部町字緑町704番地の1,乙部町,62,140.1404338,41.96841796
R7-0102-17,0102,医療法人社団恵愛会佐々木病院,恵愛会佐々木病院,江差町,matched,normalized_exact,,1,,511,医療法人社団恵愛会佐々木病院,恵愛会佐々木病院,1,檜山郡江差町字姥神町31番地,江差町,60,140.12391956170686,41.866844816431374
R7-0102-18,0102,奥尻町国民健康保険病院,奥尻町国民健康保険病院,奥尻町,matched,normalized_exact,,1,,513,奥尻町国民健康保険病院,奥尻町国民健康保険病院,1,奥尻郡奥尻町字奥尻462番地,奥尻町,54,139.5071915,42.17226622
R7-0102-19,0102,町立上ノ国診療所,町立上ノ国診療所,上ノ国町,matched,normalized_exact,,1,,6876,町立上ノ国診療所,町立上ノ国診療所,2,檜山郡上ノ国町字上ノ国274番地の4,上ノ国町,19,140.1096241,41.80191518
R7-0102-20,0102,医療法人雄心会江差脳神経外科クリニック,雄心会江差脳神経外科クリニック,江差町,matched,normalized_exact,,1,,6877,医療法人雄心会江差脳神経外科クリニック,雄心会江差脳神経外科クリニック,2,檜山郡江差町字伏木戸町550番1,江差町,0,140.1450804,41.91476633
R7-0103-14,0103,八雲総合病院,八雲総合病院,八雲町,matched,normalized_exact,,1,,507,八雲総合病院,八雲総合病院,1,二海郡八雲町東雲町50番地,八雲町,327,140.2797778,42.25265527
R7-0103-15,0103,医療法人財団明理会道南ロイヤル病院,明理会道南ロイヤル病院,せたな町,matched,normalized_exact,,1,,508,医療法人財団明理会道南ロイヤル病院,明理会道南ロイヤル病院,1,久遠郡せたな町北檜山区北檜山322番地の4,せたな町,174,139.878299084876,42.41424717140377
R7-0103-16,0103,八雲町熊石国民健康保険病院,八雲町熊石国民健康保険病院,八雲町,matched,normalized_exact,,1,,505,八雲町熊石国民健康保険病院,八雲町熊石国民健康保険病院,1,二海郡八雲町熊石雲石町494番地1,八雲町,99,139.9761711,42.12958661
R7-0103-17,0103,長万部町立病院,長万部町立病院,長万部町,matched,normalized_exact,,1,,506,長万部町立病院,長万部町立病院,1,山越郡長万部町字長万部18番地40,長万部町,54,140.3769456,42.51001601
R7-0103-18,0103,せたな町立国保病院,せたな町立国保病院,せたな町,matched,normalized_exact,,1,,509,せたな町立国保病院,せたな町立国保病院,1,久遠郡せたな町北檜山区北檜山378番地,せたな町,60,139.8759366,42.41592294
R7-0103-19,0103,今金町国保病院,今金町国保病院,今金町,matched,normalized_exact,,1,,510,今金町国保病院,今金町国保病院,1,瀬棚郡今金町字今金17番地の2,今金町,33,140.007028,42.42919215
R7-0104-14,0104,北海道大学病院,北海道大学病院,札幌市北区,matched,normalized_exact,,1,,463,北海道大学病院,北海道大学病院,1,札幌市北区北14条西5丁目,札幌市北区,944,141.345249,43.07761011
R7-0104-15,0104,札幌医科大学附属病院,札幌医科大学附属病院,札幌市中央区,matched,normalized_exact,,1,,489,札幌医科大学附属病院,札幌医科大学附属病院,1,札幌市中央区南1条西16丁目291番地,札幌市中央区,932,141.3334939,43.05518012
