published_fy,direction,pref_code,pref_name,area_code,area_name,phase,rank,partner_pref_code,partner_pref_name,partner_area_code,partner_area_name,rate,rate_source_value,value_status
R7,流入率,01,北海道,0101,南渡島,高度急性期+急性期,1,01,北海道,0101,南渡島,0.9062844376965826,0.9062844376965826,observed
R7,流入率,01,北海道,0101,南渡島,高度急性期+急性期,2,01,北海道,0102,南檜山,0.04220060329093418,0.04220060329093418,observed
R7,流入率,01,北海道,0101,南渡島,高度急性期+急性期,3,01,北海道,0103,北渡島檜山,0.03450749414206655,0.03450749414206655,observed
R7,流入率,01,北海道,0101,南渡島,高度急性期+急性期,4,01,北海道,0104,札幌,0.0045019022300602195,0.0045019022300602195,observed
R7,流入率,01,北海道,0101,南渡島,包括期,1,01,北海道,0101,南渡島,0.9351719625916906,0.9351719625916906,observed
R7,流入率,01,北海道,0101,南渡島,包括期,2,01,北海道,0102,南檜山,0.031220937581549833,0.031220937581549833,observed
R7,流入率,01,北海道,0101,南渡島,包括期,3,01,北海道,0103,北渡島檜山,0.025208968486515448,0.025208968486515448,observed
R7,流入率,01,北海道,0101,南渡島,慢性期,1,01,北海道,0101,南渡島,0.9488514140062714,0.9488514140062714,observed
R7,流入率,01,北海道,0101,南渡島,慢性期,2,01,北海道,0102,南檜山,0.02420959142750916,0.02420959142750916,observed
R7,流入率,01,北海道,0101,南渡島,慢性期,3,01,北海道,0103,北渡島檜山,0.017153570842427985,0.017153570842427985,observed
R7,流出率,01,北海道,0101,南渡島,高度急性期+急性期,1,01,北海道,0101,南渡島,0.966783042926569,0.966783042926569,observed
R7,流出率,01,北海道,0101,南渡島,高度急性期+急性期,2,01,北海道,0104,札幌,0.02332934854119292,0.02332934854119292,observed
R7,流出率,01,北海道,0101,南渡島,包括期,1,01,北海道,0101,南渡島,0.9785124628165945,0.9785124628165945,observed
R7,流出率,01,北海道,0101,南渡島,包括期,2,01,北海道,0104,札幌,0.01297773654980456,0.01297773654980456,observed
R7,流出率,01,北海道,0101,南渡島,慢性期,1,01,北海道,0101,南渡島,0.9437708442774615,0.9437708442774615,observed
R7,流出率,01,北海道,0101,南渡島,慢性期,2,01,北海道,0104,札幌,0.02453593694769168,0.02453593694769168,observed
