published_fy,pref_code,pref_name,area_code,area_name,direction,overall_rate
R7,01,北海道,0101,南渡島,流入率,0.09371556230341738
R7,01,北海道,0101,南渡島,流出率,0.033216957073430975
R7,01,北海道,0102,南檜山,流入率,0.021146692585083726
R7,01,北海道,0102,南檜山,流出率,0.6997936735722892
R7,01,北海道,0103,北渡島檜山,流入率,0.04130470458502633
R7,01,北海道,0103,北渡島檜山,流出率,0.4970458918255436
R7,01,北海道,0104,札幌,流入率,0.13943497899399093
R7,01,北海道,0104,札幌,流出率,0.014651523733353211
R7,01,北海道,0105,後志,流入率,0.0345004958327958
R7,01,北海道,0105,後志,流出率,0.36014560474297586
R7,01,北海道,0106,南空知,流入率,0.09983611510400059
R7,01,北海道,0106,南空知,流出率,0.4506405914313699
R7,01,北海道,0107,中空知,流入率,0.12701203492387902
R7,01,北海道,0107,中空知,流出率,0.26365657678530197
R7,01,北海道,0108,北空知,流入率,0.09376221405573748
R7,01,北海道,0108,北空知,流出率,0.4799958122071921
R7,01,北海道,0109,西胆振,流入率,0.06782695847809017
R7,01,北海道,0109,西胆振,流出率,0.13870448968225202
R7,01,北海道,0110,東胆振,流入率,0.1383481489723951
R7,01,北海道,0110,東胆振,流出率,0.20776605609422172
R7,01,北海道,0111,日高,流入率,0.015635947718421028
R7,01,北海道,0111,日高,流出率,0.5782380384615879
R7,01,北海道,0112,上川中部,流入率,0.19171249883931496
R7,01,北海道,0112,上川中部,流出率,0.027574720730307867
R7,01,北海道,0113,上川北部,流入率,0.20188293804379798
R7,01,北海道,0113,上川北部,流出率,0.42557025433690454
R7,01,北海道,0114,富良野,流入率,0.10937274904623384
R7,01,北海道,0114,富良野,流出率,0.3734978850530546
R7,01,北海道,0115,留萌,流入率,0.01676292276414515
R7,01,北海道,0115,留萌,流出率,0.44709875734267046
R7,01,北海道,0116,宗谷,流入率,0.037366548581224124
R7,01,北海道,0116,宗谷,流出率,0.42737865099146644
R7,01,北海道,0117,北網,流入率,0.10217522084945296
R7,01,北海道,0117,北網,流出率,0.09892696132360135
R7,01,北海道,0118,遠紋,流入率,0.012708730621655562
R7,01,北海道,0118,遠紋,流出率,0.4327327632658243
R7,01,北海道,0119,十勝,流入率,0.0250262393034697
R7,01,北海道,0119,十勝,流出率,0.07804305918565402
R7,01,北海道,0120,釧路,流入率,0.14101913378109188
