published_fy,pref_code,pref_name,population_2020,population_2020_source_value,population_2020_source_unit,area_2020_km2
R7,00,全国,126146099,12614.6099,万人,372952.86
R7,01,北海道,5224614,522.4614,万人,78453.01
R7,02,青森県,1237984,123.7984,万人,9645.65
R7,03,岩手県,1210534,121.0534,万人,15275.02
R7,04,宮城県,2301996,230.1996,万人,7282.23
R7,05,秋田県,959502,95.9502,万人,11615.55
R7,06,山形県,1068027,106.8027,万人,9323.14
R7,07,福島県,1833152,183.3152,万人,13783.9
R7,08,茨城県,2867009,286.7009,万人,6097.19
R7,09,栃木県,1933146,193.3146,万人,6408.11
R7,10,群馬県,1939110,193.911,万人,6362.33
R7,11,埼玉県,7344765,734.4765,万人,3797.8
R7,12,千葉県,6284480,628.448,万人,5157.49
R7,13,東京都,14047594,1404.7594,万人,2180.56
R7,14,神奈川県,9237337,923.7337,万人,2416.17
R7,15,新潟県,2201272,220.1272,万人,12584.11
R7,16,富山県,1034814,103.4814,万人,4247.64
R7,17,石川県,1132526,113.2526,万人,4186.06
R7,18,福井県,766863,76.6863,万人,4190.53
R7,19,山梨県,809974,80.9974,万人,4460.57
R7,20,長野県,2048011,204.8011,万人,13561.6
R7,21,岐阜県,1978742,197.8742,万人,10621.32
R7,22,静岡県,3633202,363.3202,万人,7777.41
R7,23,愛知県,7542415,754.2415,万人,5169.87
R7,24,三重県,1770254,177.0254,万人,5774.41
R7,25,滋賀県,1413610,141.361,万人,4017.39
R7,26,京都府,2578087,257.8087,万人,4612.2
R7,27,大阪府,8837685,883.7685,万人,1905.18
R7,28,兵庫県,5465002,546.5002,万人,8400.96
R7,29,奈良県,1324473,132.4473,万人,3690.91
R7,30,和歌山県,922584,92.2584,万人,4724.63
R7,31,鳥取県,553407,55.3407,万人,3507.13
R7,32,島根県,671126,67.1126,万人,6708.26
R7,33,岡山県,1888432,188.8432,万人,7107.29
R7,34,広島県,2799702,279.9702,万人,8479.61
R7,35,山口県,1342059,134.2059,万人,6112.56
R7,36,徳島県,719559,71.9559,万人,4146.79
R7,37,香川県,950244,95.0244,万人,1876.78
R7,38,愛媛県,1334841,133.4841,万人,5676.23
R7,39,高知県,691527,69.1527,万人,7103.85
R7,40,福岡県,5135214,513.5214,万人,4986.53
R7,41,佐賀県,811442,81.1442,万人,2440.71
R7,42,長崎県,1312317,131.2317,万人,4130.89
R7,43,熊本県,1738301,173.8301,万人,7409.49
R7,44,大分県,1123852,112.3852,万人,6340.72
R7,45,宮崎県,1069576,106.9576,万人,7735.34
R7,46,鹿児島県,1588256,158.8256,万人,9186.93
R7,47,沖縄県,1467480,146.748,万人,2280.81
