published_fy,pref_code,pref_name,year,report_rate
R7,00,全国,2015,0.9535699546017334
R7,00,全国,2018,0.9701998701204994
R7,00,全国,2019,0.9746117084826762
R7,00,全国,2020,0.9617873182613991
R7,00,全国,2021,0.9684275851369172
R7,00,全国,2022,0.9667196187450358
R7,00,全国,2023,0.9855084196891192
R7,00,全国,2024,0.9855084196891192
R7,00,全国,2025,0.9860544217687075
R7,01,北海道,2015,0.9644495412844036
R7,01,北海道,2018,0.9839816933638444
R7,01,北海道,2019,0.986873508353222
R7,01,北海道,2020,0.9645909645909646
R7,01,北海道,2021,0.9711779448621554
R7,01,北海道,2022,0.9551856594110115
R7,01,北海道,2023,0.9470967741935484
R7,01,北海道,2024,0.9580602883355177
R7,01,北海道,2025,0.9798387096774194
R7,02,青森県,2015,0.9649122807017544
R7,02,青森県,2018,0.9534883720930233
R7,02,青森県,2019,1
R7,02,青森県,2020,1
R7,02,青森県,2021,1
R7,02,青森県,2022,1
R7,02,青森県,2023,1
R7,02,青森県,2024,1
R7,02,青森県,2025,1
R7,03,岩手県,2015,0.9388888888888889
R7,03,岩手県,2018,0.9763313609467456
R7,03,岩手県,2019,0.9570552147239264
R7,03,岩手県,2020,0.9937106918238994
R7,03,岩手県,2021,0.98125
R7,03,岩手県,2022,1
R7,03,岩手県,2023,0.9933333333333333
R7,03,岩手県,2024,0.9928057553956835
R7,03,岩手県,2025,1
R7,04,宮城県,2015,0.97165991902834
R7,04,宮城県,2018,0.9956709956709957
R7,04,宮城県,2019,0.9909502262443439
R7,04,宮城県,2020,1
R7,04,宮城県,2021,1
R7,04,宮城県,2022,1
R7,04,宮城県,2023,1
R7,04,宮城県,2024,1
R7,04,宮城県,2025,1
R7,05,秋田県,2015,0.9316239316239316
R7,05,秋田県,2018,0.981651376146789
R7,05,秋田県,2019,0.9714285714285714
R7,05,秋田県,2020,0.9801980198019802
R7,05,秋田県,2021,0.9896907216494846
R7,05,秋田県,2022,0.9789473684210527
R7,05,秋田県,2023,1
R7,05,秋田県,2024,1
R7,05,秋田県,2025,1
R7,06,山形県,2015,1
R7,06,山形県,2018,0.9727272727272728
R7,06,山形県,2019,0.9813084112149533
R7,06,山形県,2020,0.9807692307692307
R7,06,山形県,2021,1
R7,06,山形県,2022,1
R7,06,山形県,2023,1.0106382978723405
R7,06,山形県,2024,1
R7,06,山形県,2025,1
R7,07,福島県,2015,0.9241706161137441
R7,07,福島県,2018,0.9024390243902439
R7,07,福島県,2019,0.8541666666666666
R7,07,福島県,2020,0.907103825136612
R7,07,福島県,2021,0.9120879120879121
R7,07,福島県,2022,0.9712643678160919
R7,07,福島県,2023,0.9821428571428571
R7,07,福島県,2024,0.9815950920245399
R7,07,福島県,2025,0.9937888198757764
R7,08,茨城県,2015,0.9419795221843004
R7,08,茨城県,2018,0.8781362007168458
R7,08,茨城県,2019,1.0037593984962405
R7,08,茨城県,2020,0.9810606060606061
R7,08,茨城県,2021,0.9961685823754789
R7,08,茨城県,2022,0.9525691699604744
R7,08,茨城県,2023,0.9839357429718876
R7,08,茨城県,2024,0.975103734439834
R7,08,茨城県,2025,0.9451476793248945
R7,09,栃木県,2015,1
R7,09,栃木県,2018,0.9897959183673469
R7,09,栃木県,2019,1
R7,09,栃木県,2020,0.9358288770053476
R7,09,栃木県,2021,0.8877005347593583
R7,09,栃木県,2022,0.978021978021978
R7,09,栃木県,2023,0.9828571428571429
R7,09,栃木県,2024,0.9824561403508771
R7,09,栃木県,2025,0.9757575757575757
R7,10,群馬県,2015,0.9857142857142858
R7,10,群馬県,2018,0.9849246231155779
R7,10,群馬県,2019,1
R7,10,群馬県,2020,1
R7,10,群馬県,2021,1
R7,10,群馬県,2022,1
R7,10,群馬県,2023,1
R7,10,群馬県,2024,1
R7,10,群馬県,2025,1
R7,11,埼玉県,2015,0.9078156312625251
R7,11,埼玉県,2018,0.9405940594059405
R7,11,埼玉県,2019,0.9608247422680413
R7,11,埼玉県,2020,0.9506172839506173
R7,11,埼玉県,2021,0.934020618556701
R7,11,埼玉県,2022,0.9515789473684211
R7,11,埼玉県,2023,0.951271186440678
R7,11,埼玉県,2024,0.9463519313304721
R7,11,埼玉県,2025,0.9978070175438597
R7,12,千葉県,2015,0.9721577726218097
R7,12,千葉県,2018,0.9639423076923077
R7,12,千葉県,2019,0.9535452322738386
R7,12,千葉県,2020,0.9605911330049262
R7,12,千葉県,2021,0.9368686868686869
R7,12,千葉県,2022,0.9256410256410257
R7,12,千葉県,2023,0.9920844327176781
R7,12,千葉県,2024,0.9946949602122016
R7,12,千葉県,2025,0.989247311827957
R7,13,東京都,2015,0.9716684155299056
R7,13,東京都,2018,0.9497206703910615
R7,13,東京都,2019,0.9572254335260115
R7,13,東京都,2020,0.8993135011441648
R7,13,東京都,2021,0.9144508670520232
R7,13,東京都,2022,0.9384436701509872
R7,13,東京都,2023,0.9498249708284714
R7,13,東京都,2024,0.9845788849347569
R7,13,東京都,2025,0.9809750297265161
R7,14,神奈川県,2015,0.9546351084812623
R7,14,神奈川県,2018,0.9937106918238994
R7,14,神奈川県,2019,0.9913793103448276
R7,14,神奈川県,2020,0.9740820734341252
R7,14,神奈川県,2021,0.9694323144104804
R7,14,神奈川県,2022,0.9888641425389755
R7,14,神奈川県,2023,0.9977272727272727
R7,14,神奈川県,2024,0.993103448275862
R7,14,神奈川県,2025,1
R7,15,新潟県,2015,0.9393939393939394
R7,15,新潟県,2018,0.9735099337748344
R7,15,新潟県,2019,0.9932432432432432
R7,15,新潟県,2020,0.958904109589041
R7,15,新潟県,2021,0.9577464788732394
R7,15,新潟県,2022,0.948905109489051
R7,15,新潟県,2023,1
R7,15,新潟県,2024,0.9848484848484849
R7,15,新潟県,2025,0.9770992366412213
R7,16,富山県,2015,0.9485294117647058
R7,16,富山県,2018,1
R7,16,富山県,2019,1
R7,16,富山県,2020,0.9917355371900827
R7,16,富山県,2021,1
