published_fy,pref_code,pref_name,bed_function,series,year,beds
R7,00,全国,合計,実績,2015,1250751
R7,00,全国,合計,実績,2018,1252700
R7,00,全国,合計,実績,2019,1232586
R7,00,全国,合計,実績,2020,1208850
R7,00,全国,合計,実績,2021,1209557
R7,00,全国,合計,実績,2022,1198648
R7,00,全国,合計,実績,2023,1191689
R7,00,全国,合計,実績,2024,1178456
R7,00,全国,合計,実績,2025,1163779
R7,00,全国,合計,見込量,2026,1153234
R7,00,全国,合計,必要数,2025,1190821
R7,00,全国,高度急性期,実績,2015,169466
R7,00,全国,高度急性期,実績,2018,159612
R7,00,全国,高度急性期,実績,2019,158150
R7,00,全国,高度急性期,実績,2020,155991
R7,00,全国,高度急性期,実績,2021,155243
R7,00,全国,高度急性期,実績,2022,157261
R7,00,全国,高度急性期,実績,2023,159530
R7,00,全国,高度急性期,実績,2024,157639
R7,00,全国,高度急性期,実績,2025,160140
R7,00,全国,高度急性期,見込量,2026,160749
R7,00,全国,高度急性期,必要数,2025,130455
R7,00,全国,急性期,実績,2015,596137
R7,00,全国,急性期,実績,2018,570850
R7,00,全国,急性期,実績,2019,552880
R7,00,全国,急性期,実績,2020,546798
R7,00,全国,急性期,実績,2021,549279
R7,00,全国,急性期,実績,2022,533476
R7,00,全国,急性期,実績,2023,525400
R7,00,全国,急性期,実績,2024,515205
R7,00,全国,急性期,実績,2025,500106
R7,00,全国,急性期,見込量,2026,493194
R7,00,全国,急性期,必要数,2025,400632
R7,00,全国,回復期,実績,2015,130481
R7,00,全国,回復期,実績,2018,172394
R7,00,全国,回復期,実績,2019,186285
R7,00,全国,回復期,実績,2020,189391
R7,00,全国,回復期,実績,2021,192956
R7,00,全国,回復期,実績,2022,199495
R7,00,全国,回復期,実績,2023,203999
R7,00,全国,回復期,実績,2024,206699
R7,00,全国,回復期,実績,2025,210775
R7,00,全国,回復期,見込量,2026,213421
R7,00,全国,回復期,必要数,2025,375246
R7,00,全国,慢性期,実績,2015,354667
R7,00,全国,慢性期,実績,2018,349844
R7,00,全国,慢性期,実績,2019,335271
R7,00,全国,慢性期,実績,2020,316670
R7,00,全国,慢性期,実績,2021,312079
R7,00,全国,慢性期,実績,2022,308416
R7,00,全国,慢性期,実績,2023,302760
R7,00,全国,慢性期,実績,2024,298913
R7,00,全国,慢性期,実績,2025,292758
R7,00,全国,慢性期,見込量,2026,285870
R7,00,全国,慢性期,必要数,2025,284488
R7,01,北海道,合計,実績,2015,77329
R7,01,北海道,合計,実績,2018,76252
R7,01,北海道,合計,実績,2019,75135
R7,01,北海道,合計,実績,2020,72614
R7,01,北海道,合計,実績,2021,73145
R7,01,北海道,合計,実績,2022,71954
R7,01,北海道,合計,実績,2023,71409
R7,01,北海道,合計,実績,2024,70682
R7,01,北海道,合計,実績,2025,69585
R7,01,北海道,合計,見込量,2026,68010
R7,01,北海道,合計,必要数,2025,73190
R7,01,北海道,高度急性期,実績,2015,7778
R7,01,北海道,高度急性期,実績,2018,5823
R7,01,北海道,高度急性期,実績,2019,6799
R7,01,北海道,高度急性期,実績,2020,6001
R7,01,北海道,高度急性期,実績,2021,5907
R7,01,北海道,高度急性期,実績,2022,6340
R7,01,北海道,高度急性期,実績,2023,6587
R7,01,北海道,高度急性期,実績,2024,6216
R7,01,北海道,高度急性期,実績,2025,5731
R7,01,北海道,高度急性期,見込量,2026,6322
R7,01,北海道,高度急性期,必要数,2025,7350
R7,01,北海道,急性期,実績,2015,36851
R7,01,北海道,急性期,実績,2018,36803
R7,01,北海道,急性期,実績,2019,34536
R7,01,北海道,急性期,実績,2020,34190
R7,01,北海道,急性期,実績,2021,34284
R7,01,北海道,急性期,実績,2022,33009
R7,01,北海道,急性期,実績,2023,32379
R7,01,北海道,急性期,実績,2024,31562
R7,01,北海道,急性期,実績,2025,30850
R7,01,北海道,急性期,見込量,2026,29697
R7,01,北海道,急性期,必要数,2025,21926
R7,01,北海道,回復期,実績,2015,5899
R7,01,北海道,回復期,実績,2018,7395
R7,01,北海道,回復期,実績,2019,8431
R7,01,北海道,回復期,実績,2020,8382
R7,01,北海道,回復期,実績,2021,8549
R7,01,北海道,回復期,実績,2022,8794
R7,01,北海道,回復期,実績,2023,9217
R7,01,北海道,回復期,実績,2024,9609
R7,01,北海道,回復期,実績,2025,10412
R7,01,北海道,回復期,見込量,2026,10293
R7,01,北海道,回復期,必要数,2025,20431
R7,01,北海道,慢性期,実績,2015,26801
R7,01,北海道,慢性期,実績,2018,26231
R7,01,北海道,慢性期,実績,2019,25369
R7,01,北海道,慢性期,実績,2020,24041
R7,01,北海道,慢性期,実績,2021,24405
R7,01,北海道,慢性期,実績,2022,23811
R7,01,北海道,慢性期,実績,2023,23226
R7,01,北海道,慢性期,実績,2024,23295
R7,01,北海道,慢性期,実績,2025,22592
R7,01,北海道,慢性期,見込量,2026,21698
R7,01,北海道,慢性期,必要数,2025,23483
R7,02,青森県,合計,実績,2015,14028
R7,02,青森県,合計,実績,2018,13677
R7,02,青森県,合計,実績,2019,13321
R7,02,青森県,合計,実績,2020,13208
R7,02,青森県,合計,実績,2021,12607
R7,02,青森県,合計,実績,2022,12493
R7,02,青森県,合計,実績,2023,12449
R7,02,青森県,合計,実績,2024,12053
R7,02,青森県,合計,実績,2025,11673
R7,02,青森県,合計,見込量,2026,11628
R7,02,青森県,合計,必要数,2025,11827
R7,02,青森県,高度急性期,実績,2015,1425
R7,02,青森県,高度急性期,実績,2018,1352
R7,02,青森県,高度急性期,実績,2019,1288
R7,02,青森県,高度急性期,実績,2020,1288
R7,02,青森県,高度急性期,実績,2021,1284
R7,02,青森県,高度急性期,実績,2022,1276
R7,02,青森県,高度急性期,実績,2023,1248
R7,02,青森県,高度急性期,実績,2024,1250
R7,02,青森県,高度急性期,実績,2025,1186
R7,02,青森県,高度急性期,見込量,2026,1217
R7,02,青森県,高度急性期,必要数,2025,1157
R7,02,青森県,急性期,実績,2015,7721
R7,02,青森県,急性期,実績,2018,7245
R7,02,青森県,急性期,実績,2019,7012
R7,02,青森県,急性期,実績,2020,6903
R7,02,青森県,急性期,実績,2021,6728
R7,02,青森県,急性期,実績,2022,6613
R7,02,青森県,急性期,実績,2023,6474
R7,02,青森県,急性期,実績,2024,6133
R7,02,青森県,急性期,実績,2025,5800
R7,02,青森県,急性期,見込量,2026,5740
R7,02,青森県,急性期,必要数,2025,4070
R7,02,青森県,回復期,実績,2015,1594
R7,02,青森県,回復期,実績,2018,2087
R7,02,青森県,回復期,実績,2019,2203
R7,02,青森県,回復期,実績,2020,2164
R7,02,青森県,回復期,実績,2021,2114
R7,02,青森県,回復期,実績,2022,2100
R7,02,青森県,回復期,実績,2023,2247
R7,02,青森県,回復期,実績,2024,2191
R7,02,青森県,回復期,実績,2025,2279
R7,02,青森県,回復期,見込量,2026,2343
R7,02,青森県,回復期,必要数,2025,4238
R7,02,青森県,慢性期,実績,2015,3288
R7,02,青森県,慢性期,実績,2018,2993
R7,02,青森県,慢性期,実績,2019,2818
R7,02,青森県,慢性期,実績,2020,2853
R7,02,青森県,慢性期,実績,2021,2481
R7,02,青森県,慢性期,実績,2022,2504
R7,02,青森県,慢性期,実績,2023,2480
R7,02,青森県,慢性期,実績,2024,2479
R7,02,青森県,慢性期,実績,2025,2408
R7,02,青森県,慢性期,見込量,2026,2328
R7,02,青森県,慢性期,必要数,2025,2362
R7,03,岩手県,合計,実績,2015,13125
R7,03,岩手県,合計,実績,2018,12872
R7,03,岩手県,合計,実績,2019,12623
R7,03,岩手県,合計,実績,2020,12674
R7,03,岩手県,合計,実績,2021,12759
R7,03,岩手県,合計,実績,2022,12516
R7,03,岩手県,合計,実績,2023,12586
R7,03,岩手県,合計,実績,2024,11553
R7,03,岩手県,合計,実績,2025,11340
R7,03,岩手県,合計,見込量,2026,10947
R7,03,岩手県,合計,必要数,2025,10676
R7,03,岩手県,高度急性期,実績,2015,1413
R7,03,岩手県,高度急性期,実績,2018,1390
R7,03,岩手県,高度急性期,実績,2019,1314
R7,03,岩手県,高度急性期,実績,2020,1322
R7,03,岩手県,高度急性期,実績,2021,1264
R7,03,岩手県,高度急性期,実績,2022,1274
R7,03,岩手県,高度急性期,実績,2023,1322
R7,03,岩手県,高度急性期,実績,2024,1382
R7,03,岩手県,高度急性期,実績,2025,1355
R7,03,岩手県,高度急性期,見込量,2026,1261
R7,03,岩手県,高度急性期,必要数,2025,1030
R7,03,岩手県,急性期,実績,2015,6588
R7,03,岩手県,急性期,実績,2018,6080
R7,03,岩手県,急性期,実績,2019,5862
R7,03,岩手県,急性期,実績,2020,5496
R7,03,岩手県,急性期,実績,2021,5474
R7,03,岩手県,急性期,実績,2022,5093
R7,03,岩手県,急性期,実績,2023,5099
R7,03,岩手県,急性期,実績,2024,4401
R7,03,岩手県,急性期,実績,2025,4560
R7,03,岩手県,急性期,見込量,2026,4359
R7,03,岩手県,急性期,必要数,2025,3333
R7,03,岩手県,回復期,実績,2015,1707
R7,03,岩手県,回復期,実績,2018,2244
R7,03,岩手県,回復期,実績,2019,2336
R7,03,岩手県,回復期,実績,2020,2850
R7,03,岩手県,回復期,実績,2021,2891
R7,03,岩手県,回復期,実績,2022,2970
R7,03,岩手県,回復期,実績,2023,3150
R7,03,岩手県,回復期,実績,2024,2974
R7,03,岩手県,回復期,実績,2025,2917
R7,03,岩手県,回復期,見込量,2026,2939
R7,03,岩手県,回復期,必要数,2025,3696
R7,03,岩手県,慢性期,実績,2015,3417
R7,03,岩手県,慢性期,実績,2018,3158
R7,03,岩手県,慢性期,実績,2019,3111
R7,03,岩手県,慢性期,実績,2020,3006
R7,03,岩手県,慢性期,実績,2021,3130
R7,03,岩手県,慢性期,実績,2022,3179
R7,03,岩手県,慢性期,実績,2023,3015
R7,03,岩手県,慢性期,実績,2024,2796
R7,03,岩手県,慢性期,実績,2025,2508
R7,03,岩手県,慢性期,見込量,2026,2388
R7,03,岩手県,慢性期,必要数,2025,2617
R7,04,宮城県,合計,実績,2015,20012
R7,04,宮城県,合計,実績,2018,19957
R7,04,宮城県,合計,実績,2019,19962
R7,04,宮城県,合計,実績,2020,19557
R7,04,宮城県,合計,実績,2021,19214
R7,04,宮城県,合計,実績,2022,19196
R7,04,宮城県,合計,実績,2023,18978
R7,04,宮城県,合計,実績,2024,18636
R7,04,宮城県,合計,実績,2025,18746
R7,04,宮城県,合計,見込量,2026,18646
R7,04,宮城県,合計,必要数,2025,18781
R7,04,宮城県,高度急性期,実績,2015,3039
R7,04,宮城県,高度急性期,実績,2018,2463
R7,04,宮城県,高度急性期,実績,2019,2278
R7,04,宮城県,高度急性期,実績,2020,2015
R7,04,宮城県,高度急性期,実績,2021,2091
R7,04,宮城県,高度急性期,実績,2022,2053
R7,04,宮城県,高度急性期,実績,2023,2017
R7,04,宮城県,高度急性期,実績,2024,2028
R7,04,宮城県,高度急性期,実績,2025,2092
R7,04,宮城県,高度急性期,見込量,2026,2060
R7,04,宮城県,高度急性期,必要数,2025,2265
R7,04,宮城県,急性期,実績,2015,10948
R7,04,宮城県,急性期,実績,2018,10952
R7,04,宮城県,急性期,実績,2019,10761
R7,04,宮城県,急性期,実績,2020,10791
R7,04,宮城県,急性期,実績,2021,10439
R7,04,宮城県,急性期,実績,2022,10431
R7,04,宮城県,急性期,実績,2023,10058
R7,04,宮城県,急性期,実績,2024,9694
R7,04,宮城県,急性期,実績,2025,9510
R7,04,宮城県,急性期,見込量,2026,9501
R7,04,宮城県,急性期,必要数,2025,6604
R7,04,宮城県,回復期,実績,2015,1792
R7,04,宮城県,回復期,実績,2018,2320
R7,04,宮城県,回復期,実績,2019,2541
R7,04,宮城県,回復期,実績,2020,2645
R7,04,宮城県,回復期,実績,2021,2763
R7,04,宮城県,回復期,実績,2022,2669
R7,04,宮城県,回復期,実績,2023,2942
R7,04,宮城県,回復期,実績,2024,2966
R7,04,宮城県,回復期,実績,2025,3131
R7,04,宮城県,回復期,見込量,2026,3169
R7,04,宮城県,回復期,必要数,2025,6005
R7,04,宮城県,慢性期,実績,2015,4233
R7,04,宮城県,慢性期,実績,2018,4222
R7,04,宮城県,慢性期,実績,2019,4382
R7,04,宮城県,慢性期,実績,2020,4106
R7,04,宮城県,慢性期,実績,2021,3921
R7,04,宮城県,慢性期,実績,2022,4043
R7,04,宮城県,慢性期,実績,2023,3961
R7,04,宮城県,慢性期,実績,2024,3948
R7,04,宮城県,慢性期,実績,2025,4013
R7,04,宮城県,慢性期,見込量,2026,3916
R7,04,宮城県,慢性期,必要数,2025,3907
R7,05,秋田県,合計,実績,2015,11296
R7,05,秋田県,合計,実績,2018,10956
R7,05,秋田県,合計,実績,2019,10523
R7,05,秋田県,合計,実績,2020,10407
R7,05,秋田県,合計,実績,2021,10214
R7,05,秋田県,合計,実績,2022,10158
R7,05,秋田県,合計,実績,2023,9971
R7,05,秋田県,合計,実績,2024,9752
R7,05,秋田県,合計,実績,2025,9317
R7,05,秋田県,合計,見込量,2026,9247
R7,05,秋田県,合計,必要数,2025,9143
R7,05,秋田県,高度急性期,実績,2015,675
R7,05,秋田県,高度急性期,実績,2018,729
R7,05,秋田県,高度急性期,実績,2019,632
R7,05,秋田県,高度急性期,実績,2020,632
R7,05,秋田県,高度急性期,実績,2021,630
R7,05,秋田県,高度急性期,実績,2022,630
R7,05,秋田県,高度急性期,実績,2023,630
R7,05,秋田県,高度急性期,実績,2024,619
R7,05,秋田県,高度急性期,実績,2025,597
R7,05,秋田県,高度急性期,見込量,2026,586
R7,05,秋田県,高度急性期,必要数,2025,902
R7,05,秋田県,急性期,実績,2015,6559
R7,05,秋田県,急性期,実績,2018,5927
R7,05,秋田県,急性期,実績,2019,5801
R7,05,秋田県,急性期,実績,2020,5745
R7,05,秋田県,急性期,実績,2021,5558
R7,05,秋田県,急性期,実績,2022,5584
R7,05,秋田県,急性期,実績,2023,5396
R7,05,秋田県,急性期,実績,2024,5258
R7,05,秋田県,急性期,実績,2025,5004
R7,05,秋田県,急性期,見込量,2026,4942
R7,05,秋田県,急性期,必要数,2025,3255
R7,05,秋田県,回復期,実績,2015,1186
R7,05,秋田県,回復期,実績,2018,1440
R7,05,秋田県,回復期,実績,2019,1497
R7,05,秋田県,回復期,実績,2020,1527
R7,05,秋田県,回復期,実績,2021,1632
R7,05,秋田県,回復期,実績,2022,1694
R7,05,秋田県,回復期,実績,2023,1691
R7,05,秋田県,回復期,実績,2024,1596
R7,05,秋田県,回復期,実績,2025,1466
R7,05,秋田県,回復期,見込量,2026,1546
R7,05,秋田県,回復期,必要数,2025,2544
R7,05,秋田県,慢性期,実績,2015,2876
R7,05,秋田県,慢性期,実績,2018,2860
