area_code,area_name,muni_code,muni_name,parent_iryoken2_code,parent_iryoken2_name
2405,桑員,24205,桑名市,2401,北勢
2405,桑員,24214,いなべ市,2401,北勢
2405,桑員,24303,木曽岬町,2401,北勢
2405,桑員,24324,東員町,2401,北勢
2406,三泗,24202,四日市市,2401,北勢
2406,三泗,24341,菰野町,2401,北勢
2406,三泗,24343,朝日町,2401,北勢
2406,三泗,24344,川越町,2401,北勢
2407,鈴亀,24207,鈴鹿市,2401,北勢
2407,鈴亀,24210,亀山市,2401,北勢
2408,津,24201,津市,2402,中勢伊賀
2409,伊賀,24208,名張市,2402,中勢伊賀
2409,伊賀,24216,伊賀市,2402,中勢伊賀
2410,松阪,24204,松阪市,2403,南勢志摩
2410,松阪,24441,多気町,2403,南勢志摩
2410,松阪,24442,明和町,2403,南勢志摩
2410,松阪,24443,大台町,2403,南勢志摩
2410,松阪,24471,大紀町,2403,南勢志摩
2411,伊勢志摩,24203,伊勢市,2403,南勢志摩
2411,伊勢志摩,24211,鳥羽市,2403,南勢志摩
2411,伊勢志摩,24215,志摩市,2403,南勢志摩
2411,伊勢志摩,24461,玉城町,2403,南勢志摩
2411,伊勢志摩,24470,度会町,2403,南勢志摩
2411,伊勢志摩,24472,南伊勢町,2403,南勢志摩
2412,東紀州,24209,尾鷲市,2404,東紀州
2412,東紀州,24212,熊野市,2404,東紀州
2412,東紀州,24543,紀北町,2404,東紀州
2412,東紀州,24561,御浜町,2404,東紀州
2412,東紀州,24562,紀宝町,2404,東紀州
